iter,N,adam,rms,net
0,15,0.022249894216656685,0.08631236106157303,0.024784265086054802,0.0
1,15,0.022808825597167015,0.043956954032182693,0.02485611103475094,0.019806960597634315
2,15,0.0230479184538126,0.025433624163269997,0.025089267641305923,0.02497686631977558
3,15,0.022350123152136803,0.02502436749637127,0.024583032354712486,0.021925674751400948
4,15,0.020898910239338875,0.020312000066041946,0.024237750098109245,0.028228310868144035
5,15,0.019101224839687347,0.010696380399167538,0.02518325299024582,0.038372911512851715
6,15,0.01846373826265335,0.009251132607460022,0.025179939344525337,0.03676429018378258
7,15,0.01808525249361992,0.010488558560609818,0.024467458948493004,0.03457946330308914
8,15,0.016840673983097076,0.005694524385035038,0.02495642937719822,0.043266411870718
9,15,0.016054200008511543,0.003663922194391489,0.025179831311106682,0.030865540727972984
10,15,0.015252342447638512,0.004889689851552248,0.02497103624045849,0.044908419251441956
11,15,0.015169071033596992,0.004893946461379528,0.025154709815979004,0.026882372796535492
12,15,0.014182266779243946,0.0039215958677232265,0.025179868564009666,0.04329562559723854
13,15,0.013602717779576778,0.0013459792826324701,0.025180306285619736,0.030901245772838593
14,15,0.013062422163784504,0.0024780507665127516,0.025180306285619736,0.04265794903039932
15,15,0.012877468019723892,0.0027577271685004234,0.025180306285619736,0.02839207649230957
16,15,0.01304150465875864,0.008286251686513424,0.024924131110310555,0.03657890111207962
17,15,0.012338751927018166,0.002755612600594759,0.02518066018819809,0.04092073813080788
18,15,0.012028784491121769,0.0020955477375537157,0.025180308148264885,0.028393002226948738
19,15,0.011484802700579166,0.0025389371439814568,0.025180308148264885,0.04517517238855362
20,15,0.011787442490458488,0.005164461210370064,0.025180308148264885,0.02186545357108116
21,15,0.011344182305037975,0.008148277178406715,0.025177350267767906,0.0392029695212841
22,15,0.010850735940039158,0.0026213868986815214,0.025180306285619736,0.035928308963775635
23,15,0.010582437738776207,0.002310637617483735,0.025180306285619736,0.034348417073488235
24,15,0.010074806399643421,0.002082973252981901,0.025180306285619736,0.037620630115270615
25,15,0.010174402967095375,0.0040358612313866615,0.02517276257276535,0.0225174892693758
26,15,0.009454712271690369,0.004382961895316839,0.025180287659168243,0.038359157741069794
27,15,0.009613257832825184,0.0047585261054337025,0.025180308148264885,0.028586359694600105
28,15,0.009140701033174992,0.005398938897997141,0.025180082768201828,0.040920477360486984
29,15,0.009060049429535866,0.003541661659255624,0.02517366036772728,0.023436907678842545
30,15,0.00931018777191639,0.007851915434002876,0.025180313736200333,0.035842712968587875
31,15,0.008985386230051517,0.0024596331641077995,0.025180308148264885,0.035973332822322845
0,36,0.022250039502978325,0.0863146185874939,0.02501548081636429,0.0
1,36,0.028994135558605194,0.04213179647922516,0.025180311873555183,0.00016944282106123865
2,36,0.030545465648174286,0.021717645227909088,0.025180311873555183,0.008172411471605301
3,36,0.028768036514520645,0.016617361456155777,0.025180311873555183,0.020380323752760887
4,36,0.026354767382144928,0.016505489125847816,0.025180311873555183,0.02766389586031437
5,36,0.024521954357624054,0.016324808821082115,0.025180311873555183,0.031443074345588684
6,36,0.023354459553956985,0.01538566779345274,0.025180311873555183,0.03349653258919716
7,36,0.0223529152572155,0.016106732189655304,0.025180311873555183,0.032103314995765686
