For N = 10 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::min         4.71%     771.000us         4.74%     776.000us     776.000us             1            --  
                   aten::empty         0.26%      43.000us         0.26%      43.000us       3.308us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.27%      44.000us         2.19%     359.000us      89.750us             4            --  
        aten::reflection_pad2d         1.63%     266.000us         1.93%     315.000us      78.750us             4            --  
                 aten::resize_         0.29%      47.000us         0.29%      47.000us       9.400us             5            --  
                  aten::conv2d         3.69%     604.000us        73.34%      11.997ms       2.999ms             4            --  
               aten::unsqueeze         0.31%      51.000us         0.42%      68.000us      13.600us             5            --  
             aten::convolution         1.19%     194.000us        65.07%      10.644ms       2.661ms             4            --  
            aten::_convolution         4.71%     771.000us        63.88%      10.450ms       2.612ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.24%      40.000us        12.96%       2.120ms       2.120ms             1            --  
    aten::_slow_conv2d_forward        12.59%       2.060ms        12.72%       2.080ms       2.080ms             1            --  
                    aten::view         0.04%       6.000us         0.04%       6.000us       6.000us             1            --  
                 aten::squeeze         0.43%      71.000us         4.22%     691.000us     172.750us             4            --  
                    aten::relu         0.35%      58.000us         1.55%     254.000us      63.500us             4            --  
               aten::clamp_min         1.20%     196.000us         1.20%     196.000us      49.000us             4            --  
      aten::mkldnn_convolution        45.99%       7.523ms        46.21%       7.559ms       2.520ms             3            --  
             aten::as_strided_         0.09%      14.000us         0.09%      14.000us       4.667us             3            --  
                     aten::add         0.20%      33.000us         0.20%      33.000us      33.000us             1        10.000  
                     aten::cat         0.56%      92.000us         0.67%     109.000us     109.000us             1            --  
                  aten::narrow         0.05%       8.000us         0.10%      17.000us       4.250us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 16.358ms



For N = 10 | Num optimizer steps = 2

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         5.98%     649.000us        11.25%       1.220ms      81.333us            15            --  
              aten::as_strided         5.38%     583.000us         5.38%     583.000us      16.194us            36            --  
                  aten::select         0.43%      47.000us         0.45%      49.000us       4.083us            12            --  
                   aten::clamp         0.41%      45.000us         0.85%      92.000us      46.000us             2            --  
                      aten::to         0.15%      16.000us         0.45%      49.000us       9.800us             5            --  
                aten::_to_copy         0.21%      23.000us         0.33%      36.000us       7.200us             5            --  
           aten::empty_strided         0.06%       7.000us         0.06%       7.000us       1.400us             5            --  
                   aten::copy_         0.06%       6.000us         0.06%       6.000us       1.200us             5            --  
                    aten::item         0.17%      18.000us         0.18%      19.000us      19.000us             1            --  
     aten::_local_scalar_dense         0.01%       1.000us         0.01%       1.000us       1.000us             1            --  
                     aten::mul         0.15%      16.000us         0.19%      21.000us      21.000us             1       100.000  
                     aten::sub         0.22%      24.000us         0.22%      24.000us      12.000us             2            --  
                     aten::min         0.32%      35.000us         0.33%      36.000us      36.000us             1            --  
                   aten::empty         0.20%      22.000us         0.20%      22.000us       1.692us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.26%      28.000us         0.97%     105.000us      26.250us             4            --  
        aten::reflection_pad2d         0.43%      47.000us         0.71%      77.000us      19.250us             4            --  
                 aten::resize_         0.25%      27.000us         0.25%      27.000us       5.400us             5            --  
                  aten::conv2d         0.70%      76.000us        84.60%       9.175ms       2.294ms             4            --  
               aten::unsqueeze         0.22%      24.000us         0.28%      30.000us       6.000us             5            --  
             aten::convolution         1.13%     123.000us        79.16%       8.585ms       2.146ms             4            --  
            aten::_convolution        15.21%       1.650ms        78.03%       8.462ms       2.115ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.25%      27.000us         5.67%     615.000us     615.000us             1            --  
    aten::_slow_conv2d_forward         5.32%     577.000us         5.42%     588.000us     588.000us             1            --  
                    aten::view         0.02%       2.000us         0.02%       2.000us       2.000us             1            --  
                 aten::squeeze         4.45%     483.000us         4.49%     487.000us     121.750us             4            --  
                    aten::relu         0.30%      32.000us         0.50%      54.000us      13.500us             4            --  
               aten::clamp_min         0.20%      22.000us         0.20%      22.000us       5.500us             4            --  
      aten::mkldnn_convolution        57.00%       6.182ms        57.14%       6.197ms       2.066ms             3            --  
             aten::as_strided_         0.06%       6.000us         0.06%       6.000us       2.000us             3            --  
                     aten::add         0.15%      16.000us         0.15%      16.000us      16.000us             1       100.000  
                     aten::cat         0.24%      26.000us         0.33%      36.000us      36.000us             1            --  
                  aten::narrow         0.05%       5.000us         0.07%       8.000us       2.000us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.845ms



For N = 20 | Num optimizer steps = 2

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.21%      37.000us         1.27%      39.000us       2.600us            15            --  
              aten::as_strided         0.33%      10.000us         0.33%      10.000us       0.278us            36            --  
                  aten::select         1.01%      31.000us         1.01%      31.000us       2.583us            12            --  
                   aten::clamp         0.65%      20.000us         1.44%      44.000us      22.000us             2            --  
                      aten::to         0.20%       6.000us         0.85%      26.000us       5.200us             5            --  
                aten::_to_copy         0.42%      13.000us         0.72%      22.000us       4.400us             5            --  
           aten::empty_strided         0.13%       4.000us         0.13%       4.000us       0.800us             5            --  
                   aten::copy_         0.16%       5.000us         0.16%       5.000us       1.000us             5            --  
                    aten::item         0.03%       1.000us         0.07%       2.000us       2.000us             1            --  
     aten::_local_scalar_dense         0.03%       1.000us         0.03%       1.000us       1.000us             1            --  
                     aten::mul         0.72%      22.000us         0.85%      26.000us      26.000us             1       400.000  
                     aten::sub         0.16%       5.000us         0.16%       5.000us       2.500us             2            --  
                     aten::min         0.16%       5.000us         0.20%       6.000us       6.000us             1            --  
                   aten::empty         0.42%      13.000us         0.42%      13.000us       1.000us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.46%      14.000us         1.24%      38.000us       9.500us             4            --  
        aten::reflection_pad2d         0.82%      25.000us         1.01%      31.000us       7.750us             4            --  
                 aten::resize_         0.13%       4.000us         0.13%       4.000us       0.800us             5            --  
                  aten::conv2d         1.11%      34.000us        91.44%       2.797ms     699.250us             4            --  
               aten::unsqueeze         0.52%      16.000us         0.65%      20.000us       4.000us             5            --  
             aten::convolution         1.01%      31.000us        88.98%       2.722ms     680.500us             4            --  
            aten::_convolution         0.88%      27.000us        87.97%       2.691ms     672.750us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.07%       2.000us         3.04%      93.000us      93.000us             1            --  
    aten::_slow_conv2d_forward         2.88%      88.000us         2.97%      91.000us      91.000us             1            --  
                    aten::view         0.03%       1.000us         0.03%       1.000us       1.000us             1            --  
                 aten::squeeze         0.65%      20.000us         0.78%      24.000us       6.000us             4            --  
                    aten::relu         0.59%      18.000us         1.08%      33.000us       8.250us             4            --  
               aten::clamp_min         0.49%      15.000us         0.49%      15.000us       3.750us             4            --  
      aten::mkldnn_convolution        83.59%       2.557ms        84.05%       2.571ms     857.000us             3            --  
             aten::as_strided_         0.20%       6.000us         0.20%       6.000us       2.000us             3            --  
                     aten::add         0.23%       7.000us         0.23%       7.000us       7.000us             1       400.000  
                     aten::cat         0.59%      18.000us         0.82%      25.000us      25.000us             1            --  
                  aten::narrow         0.10%       3.000us         0.20%       6.000us       1.500us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.059ms



For N = 30 | Num optimizer steps = 2

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         0.66%      37.000us         0.69%      39.000us       2.600us            15            --  
              aten::as_strided         0.20%      11.000us         0.20%      11.000us       0.306us            36            --  
                  aten::select         0.50%      28.000us         0.50%      28.000us       2.333us            12            --  
                   aten::clamp         0.27%      15.000us         0.82%      46.000us      23.000us             2            --  
                      aten::to         0.20%      11.000us         0.46%      26.000us       5.200us             5            --  
                aten::_to_copy         0.25%      14.000us         0.41%      23.000us       4.600us             5            --  
           aten::empty_strided         0.07%       4.000us         0.07%       4.000us       0.800us             5            --  
                   aten::copy_         0.09%       5.000us         0.09%       5.000us       1.000us             5            --  
                    aten::item         0.04%       2.000us         0.04%       2.000us       2.000us             1            --  
     aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::mul        11.13%     627.000us        11.18%     630.000us     630.000us             1       900.000  
                     aten::sub         0.14%       8.000us         0.14%       8.000us       4.000us             2            --  
                     aten::min         0.16%       9.000us         0.18%      10.000us      10.000us             1            --  
                   aten::empty         0.23%      13.000us         0.23%      13.000us       1.000us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.21%      12.000us         0.92%      52.000us      13.000us             4            --  
        aten::reflection_pad2d         0.60%      34.000us         0.71%      40.000us      10.000us             4            --  
                 aten::resize_         0.11%       6.000us         0.11%       6.000us       1.200us             5            --  
                  aten::conv2d         0.48%      27.000us        84.17%       4.742ms       1.185ms             4            --  
               aten::unsqueeze         0.34%      19.000us         0.41%      23.000us       4.600us             5            --  
             aten::convolution         0.71%      40.000us        82.71%       4.660ms       1.165ms             4            --  
            aten::_convolution         0.66%      37.000us        82.00%       4.620ms       1.155ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.05%       3.000us         2.13%     120.000us     120.000us             1            --  
    aten::_slow_conv2d_forward         1.99%     112.000us         2.08%     117.000us     117.000us             1            --  
                    aten::view         0.02%       1.000us         0.02%       1.000us       1.000us             1            --  
                 aten::squeeze         0.53%      30.000us         0.62%      35.000us       8.750us             4            --  
                    aten::relu         0.41%      23.000us         0.82%      46.000us      11.500us             4            --  
               aten::clamp_min         0.41%      23.000us         0.41%      23.000us       5.750us             4            --  
      aten::mkldnn_convolution        78.93%       4.447ms        79.22%       4.463ms       1.488ms             3            --  
             aten::as_strided_         0.14%       8.000us         0.14%       8.000us       2.667us             3            --  
                     aten::add         0.12%       7.000us         0.12%       7.000us       7.000us             1       900.000  
                     aten::cat         0.32%      18.000us         0.44%      25.000us      25.000us             1            --  
                  aten::narrow         0.05%       3.000us         0.11%       6.000us       1.500us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.634ms



For N = 40 | Num optimizer steps = 2

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.29%      36.000us         1.33%      37.000us       2.467us            15            --  
              aten::as_strided         0.25%       7.000us         0.25%       7.000us       0.194us            36            --  
                  aten::select         1.04%      29.000us         1.04%      29.000us       2.417us            12            --  
                   aten::clamp         0.86%      24.000us         1.76%      49.000us      24.500us             2            --  
                      aten::to         0.18%       5.000us         1.04%      29.000us       5.800us             5            --  
                aten::_to_copy         0.50%      14.000us         0.86%      24.000us       4.800us             5            --  
           aten::empty_strided         0.18%       5.000us         0.18%       5.000us       1.000us             5            --  
                   aten::copy_         0.18%       5.000us         0.18%       5.000us       1.000us             5            --  
                    aten::item         0.07%       2.000us         0.07%       2.000us       2.000us             1            --  
     aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::mul         0.86%      24.000us         1.01%      28.000us      28.000us             1         1.600  
                     aten::sub         0.22%       6.000us         0.22%       6.000us       3.000us             2            --  
                     aten::min         0.22%       6.000us         0.25%       7.000us       7.000us             1            --  
                   aten::empty         0.65%      18.000us         0.65%      18.000us       1.385us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.32%       9.000us         1.65%      46.000us      11.500us             4            --  
        aten::reflection_pad2d         1.19%      33.000us         1.33%      37.000us       9.250us             4            --  
                 aten::resize_         0.11%       3.000us         0.11%       3.000us       0.600us             5            --  
                  aten::conv2d         0.83%      23.000us        90.11%       2.506ms     626.500us             4            --  
               aten::unsqueeze         0.58%      16.000us         0.72%      20.000us       4.000us             5            --  
             aten::convolution         1.29%      36.000us        87.70%       2.439ms     609.750us             4            --  
            aten::_convolution         1.19%      33.000us        86.41%       2.403ms     600.750us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.11%       3.000us         3.78%     105.000us     105.000us             1            --  
    aten::_slow_conv2d_forward         3.31%      92.000us         3.67%     102.000us     102.000us             1            --  
                    aten::view         0.04%       1.000us         0.04%       1.000us       1.000us             1            --  
                 aten::squeeze         0.90%      25.000us         0.97%      27.000us       6.750us             4            --  
                    aten::relu         0.72%      20.000us         1.44%      40.000us      10.000us             4            --  
               aten::clamp_min         0.72%      20.000us         0.72%      20.000us       5.000us             4            --  
      aten::mkldnn_convolution        80.98%       2.252ms        81.45%       2.265ms     755.000us             3            --  
             aten::as_strided_         0.22%       6.000us         0.22%       6.000us       2.000us             3            --  
                     aten::add         0.25%       7.000us         0.25%       7.000us       7.000us             1         1.600  
                     aten::cat         0.61%      17.000us         0.90%      25.000us      25.000us             1            --  
                  aten::narrow         0.14%       4.000us         0.22%       6.000us       1.500us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.781ms



For N = 50 | Num optimizer steps = 2

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         3.84%      44.000us         4.10%      47.000us       3.133us            15            --  
              aten::as_strided         1.05%      12.000us         1.05%      12.000us       0.333us            36            --  
                  aten::select         4.71%      54.000us         4.80%      55.000us       4.583us            12            --  
                   aten::clamp         3.49%      40.000us         6.71%      77.000us      38.500us             2            --  
                      aten::to         0.26%       3.000us         3.57%      41.000us       8.200us             5            --  
                aten::_to_copy         1.22%      14.000us         3.31%      38.000us       7.600us             5            --  
           aten::empty_strided         1.74%      20.000us         1.74%      20.000us       4.000us             5            --  
                   aten::copy_         0.35%       4.000us         0.35%       4.000us       0.800us             5            --  
                    aten::item         0.17%       2.000us         0.17%       2.000us       2.000us             1            --  
     aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::mul         2.18%      25.000us         2.53%      29.000us      29.000us             1         2.500  
                     aten::sub         0.52%       6.000us         0.52%       6.000us       3.000us             2            --  
                     aten::min         0.70%       8.000us         0.78%       9.000us       9.000us             1            --  
                   aten::empty         0.70%       8.000us         0.70%       8.000us       0.615us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.70%       8.000us         4.36%      50.000us      12.500us             4            --  
        aten::reflection_pad2d         3.23%      37.000us         3.66%      42.000us      10.500us             4            --  
                 aten::resize_         0.26%       3.000us         0.26%       3.000us       0.600us             5            --  
                  aten::conv2d         1.83%      21.000us        69.83%     801.000us     200.250us             4            --  
               aten::unsqueeze         3.49%      40.000us         3.84%      44.000us       8.800us             5            --  
             aten::convolution         3.23%      37.000us        62.42%     716.000us     179.000us             4            --  
            aten::_convolution         4.10%      47.000us        59.20%     679.000us     169.750us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.26%       3.000us         9.42%     108.000us     108.000us             1            --  
    aten::_slow_conv2d_forward         7.06%      81.000us         9.15%     105.000us     105.000us             1            --  
                    aten::view         1.92%      22.000us         1.92%      22.000us      22.000us             1            --  
                 aten::squeeze         1.74%      20.000us         2.09%      24.000us       6.000us             4            --  
                    aten::relu         1.66%      19.000us         3.14%      36.000us       9.000us             4            --  
               aten::clamp_min         1.48%      17.000us         1.48%      17.000us       4.250us             4            --  
      aten::mkldnn_convolution        45.07%     517.000us        45.68%     524.000us     174.667us             3            --  
             aten::as_strided_         0.35%       4.000us         0.35%       4.000us       1.333us             3            --  
                     aten::add         0.61%       7.000us         0.61%       7.000us       7.000us             1         2.500  
                     aten::cat         1.66%      19.000us         2.53%      29.000us      29.000us             1            --  
                  aten::narrow         0.44%       5.000us         0.87%      10.000us       2.500us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.147ms



For N = 60 | Num optimizer steps = 2

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.39%      63.000us         1.45%      66.000us       4.400us            15            --  
              aten::as_strided         0.53%      24.000us         0.53%      24.000us       0.667us            36            --  
                  aten::select         0.70%      32.000us         0.73%      33.000us       2.750us            12            --  
                   aten::clamp         3.04%     138.000us         3.94%     179.000us      89.500us             2            --  
                      aten::to         0.31%      14.000us         1.47%      67.000us      13.400us             5            --  
                aten::_to_copy         0.95%      43.000us         1.17%      53.000us      10.600us             5            --  
           aten::empty_strided         0.11%       5.000us         0.11%       5.000us       1.000us             5            --  
                   aten::copy_         0.11%       5.000us         0.11%       5.000us       1.000us             5            --  
                    aten::item         0.37%      17.000us         0.40%      18.000us      18.000us             1            --  
     aten::_local_scalar_dense         0.02%       1.000us         0.02%       1.000us       1.000us             1            --  
                     aten::mul        31.62%       1.437ms        32.20%       1.463ms       1.463ms             1         3.600  
                     aten::sub         0.73%      33.000us         0.73%      33.000us      16.500us             2            --  
                     aten::min         0.73%      33.000us         0.77%      35.000us      35.000us             1            --  
                   aten::empty         0.62%      28.000us         0.62%      28.000us       2.154us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.57%      26.000us         3.37%     153.000us      38.250us             4            --  
        aten::reflection_pad2d         2.05%      93.000us         2.79%     127.000us      31.750us             4            --  
                 aten::resize_         1.34%      61.000us         1.34%      61.000us      12.200us             5            --  
                  aten::conv2d         1.52%      69.000us        52.68%       2.394ms     598.500us             4            --  
               aten::unsqueeze         0.75%      34.000us         1.08%      49.000us       9.800us             5            --  
             aten::convolution         1.72%      78.000us        49.63%       2.255ms     563.750us             4            --  
            aten::_convolution         2.71%     123.000us        47.91%       2.177ms     544.250us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.44%      20.000us        14.35%     652.000us     652.000us             1            --  
    aten::_slow_conv2d_forward        12.83%     583.000us        13.91%     632.000us     632.000us             1            --  
                    aten::view         0.07%       3.000us         0.07%       3.000us       3.000us             1            --  
                 aten::squeeze         0.53%      24.000us         0.64%      29.000us       7.250us             4            --  
                    aten::relu         0.64%      29.000us         2.60%     118.000us      29.500us             4            --  
               aten::clamp_min         1.96%      89.000us         1.96%      89.000us      22.250us             4            --  
      aten::mkldnn_convolution        30.59%       1.390ms        30.85%       1.402ms     467.333us             3            --  
             aten::as_strided_         0.11%       5.000us         0.11%       5.000us       1.667us             3            --  
                     aten::add         0.31%      14.000us         0.31%      14.000us      14.000us             1         3.600  
                     aten::cat         0.57%      26.000us         0.75%      34.000us      34.000us             1            --  
                  aten::narrow         0.09%       4.000us         0.18%       8.000us       2.000us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.544ms



For N = 70 | Num optimizer steps = 2

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         0.88%      69.000us         1.00%      79.000us       5.267us            15            --  
              aten::as_strided         0.24%      19.000us         0.24%      19.000us       0.528us            36            --  
                  aten::select         0.46%      36.000us         0.46%      36.000us       3.000us            12            --  
                   aten::clamp         0.92%      72.000us         1.64%     129.000us      64.500us             2            --  
                      aten::to         0.24%      19.000us         0.87%      68.000us      13.600us             5            --  
                aten::_to_copy         0.38%      30.000us         0.62%      49.000us       9.800us             5            --  
           aten::empty_strided         0.13%      10.000us         0.13%      10.000us       2.000us             5            --  
                   aten::copy_         0.11%       9.000us         0.11%       9.000us       1.800us             5            --  
                    aten::item         0.48%      38.000us         0.50%      39.000us      39.000us             1            --  
     aten::_local_scalar_dense         0.01%       1.000us         0.01%       1.000us       1.000us             1            --  
                     aten::mul         8.13%     639.000us         8.27%     650.000us     650.000us             1         4.900  
                     aten::sub         0.93%      73.000us         0.93%      73.000us      36.500us             2            --  
                     aten::min         0.46%      36.000us         0.48%      38.000us      38.000us             1            --  
                   aten::empty         0.45%      35.000us         0.45%      35.000us       2.692us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.32%      25.000us         8.17%     642.000us     160.500us             4            --  
        aten::reflection_pad2d         7.72%     607.000us         7.85%     617.000us     154.250us             4            --  
                 aten::resize_         0.23%      18.000us         0.23%      18.000us       3.600us             5            --  
                  aten::conv2d         0.70%      55.000us        76.80%       6.037ms       1.509ms             4            --  
               aten::unsqueeze         0.41%      32.000us         0.47%      37.000us       7.400us             5            --  
             aten::convolution         0.61%      48.000us        75.18%       5.910ms       1.478ms             4            --  
            aten::_convolution         7.26%     571.000us        74.57%       5.862ms       1.466ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.23%      18.000us         7.21%     567.000us     567.000us             1            --  
    aten::_slow_conv2d_forward         6.79%     534.000us         6.98%     549.000us     549.000us             1            --  
                    aten::view         0.01%       1.000us         0.01%       1.000us       1.000us             1            --  
                 aten::squeeze         0.45%      35.000us         0.50%      39.000us       9.750us             4            --  
                    aten::relu         0.38%      30.000us         1.09%      86.000us      21.500us             4            --  
               aten::clamp_min         0.71%      56.000us         0.71%      56.000us      14.000us             4            --  
      aten::mkldnn_convolution        59.66%       4.690ms        60.09%       4.724ms       1.575ms             3            --  
             aten::as_strided_         0.09%       7.000us         0.09%       7.000us       2.333us             3            --  
                     aten::add         0.22%      17.000us         0.22%      17.000us      17.000us             1         4.900  
                     aten::cat         0.34%      27.000us         0.46%      36.000us      36.000us             1            --  
                  aten::narrow         0.05%       4.000us         0.10%       8.000us       2.000us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.861ms



For N = 80 | Num optimizer steps = 2

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.46%     493.000us         3.32%       1.124ms      74.933us            15            --  
              aten::as_strided         1.91%     647.000us         1.91%     647.000us      17.972us            36            --  
                  aten::select         1.38%     465.000us         1.39%     470.000us      39.167us            12            --  
                   aten::clamp         1.74%     589.000us         1.93%     651.000us     325.500us             2            --  
                      aten::to         0.06%      19.000us         0.21%      72.000us      14.400us             5            --  
                aten::_to_copy         0.09%      32.000us         0.15%      52.000us      10.400us             5            --  
           aten::empty_strided         0.03%       9.000us         0.03%       9.000us       1.800us             5            --  
                   aten::copy_         0.04%      12.000us         0.04%      12.000us       2.400us             5            --  
                    aten::item         0.09%      29.000us         0.09%      30.000us      30.000us             1            --  
     aten::_local_scalar_dense         0.00%       1.000us         0.00%       1.000us       1.000us             1            --  
                     aten::mul        11.60%       3.922ms        11.63%       3.932ms       3.932ms             1         6.400  
                     aten::sub         4.22%       1.426ms         4.22%       1.426ms     713.000us             2            --  
                     aten::min         0.17%      58.000us         0.19%      63.000us      63.000us             1            --  
                   aten::empty         0.12%      39.000us         0.12%      39.000us       3.000us            13            --  
                   aten::fill_         0.00%       1.000us         0.00%       1.000us       1.000us             1            --  
                     aten::pad         0.10%      35.000us         0.62%     211.000us      52.750us             4            --  
        aten::reflection_pad2d         0.46%     155.000us         0.52%     176.000us      44.000us             4            --  
                 aten::resize_         1.48%     500.000us         1.48%     500.000us     100.000us             5            --  
                  aten::conv2d         0.25%      84.000us        68.70%      23.226ms       5.806ms             4            --  
               aten::unsqueeze         1.97%     666.000us         1.99%     672.000us     134.400us             5            --  
             aten::convolution         5.41%       1.828ms        66.38%      22.440ms       5.610ms             4            --  
            aten::_convolution         0.31%     106.000us        60.97%      20.612ms       5.153ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.07%      23.000us         7.37%       2.491ms       2.491ms             1            --  
    aten::_slow_conv2d_forward         5.82%       1.966ms         7.30%       2.468ms       2.468ms             1            --  
                    aten::view         0.02%       7.000us         0.02%       7.000us       7.000us             1            --  
                 aten::squeeze         0.09%      29.000us         0.10%      34.000us       8.500us             4            --  
                    aten::relu         0.12%      39.000us         5.44%       1.839ms     459.750us             4            --  
               aten::clamp_min         5.32%       1.800ms         5.32%       1.800ms     450.000us             4            --  
      aten::mkldnn_convolution        53.21%      17.989ms        53.29%      18.015ms       6.005ms             3            --  
             aten::as_strided_         0.02%       7.000us         0.02%       7.000us       2.333us             3            --  
                     aten::add         0.13%      44.000us         0.13%      44.000us      44.000us             1         6.400  
                     aten::cat         2.32%     783.000us         2.35%     793.000us     793.000us             1            --  
                  aten::narrow         0.01%       4.000us         0.03%       9.000us       2.250us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 33.807ms



For N = 90 | Num optimizer steps = 2

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.02%     438.000us         1.05%     451.000us      30.067us            15            --  
              aten::as_strided         0.06%      27.000us         0.06%      27.000us       0.750us            36            --  
                  aten::select         0.11%      48.000us         0.12%      51.000us       4.250us            12            --  
                   aten::clamp         1.04%     447.000us         2.21%     944.000us     472.000us             2            --  
                      aten::to         0.05%      21.000us         1.18%     503.000us     100.600us             5            --  
                aten::_to_copy         1.09%     466.000us         1.13%     484.000us      96.800us             5            --  
           aten::empty_strided         0.02%       9.000us         0.02%       9.000us       1.800us             5            --  
                   aten::copy_         0.02%       9.000us         0.02%       9.000us       1.800us             5            --  
                    aten::item         0.04%      18.000us         0.04%      19.000us      19.000us             1            --  
