For N = 10 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         2.99%      41.000us         3.21%      44.000us       2.933us            15            --  
              aten::as_strided         0.80%      11.000us         0.80%      11.000us       0.306us            36            --  
                  aten::select         2.26%      31.000us         2.26%      31.000us       2.583us            12            --  
                   aten::clamp         1.60%      22.000us         3.72%      51.000us      25.500us             2            --  
                      aten::to         0.58%       8.000us         2.11%      29.000us       5.800us             5            --  
                aten::_to_copy         1.09%      15.000us         1.75%      24.000us       4.800us             5            --  
           aten::empty_strided         0.29%       4.000us         0.29%       4.000us       0.800us             5            --  
                   aten::copy_         0.36%       5.000us         0.36%       5.000us       1.000us             5            --  
                    aten::item         0.07%       1.000us         0.15%       2.000us       2.000us             1            --  
     aten::_local_scalar_dense         0.07%       1.000us         0.07%       1.000us       1.000us             1            --  
                     aten::mul         1.75%      24.000us         1.97%      27.000us      27.000us             1       900.000  
                     aten::sub         0.44%       6.000us         0.44%       6.000us       3.000us             2            --  
                     aten::min         0.51%       7.000us         0.58%       8.000us       8.000us             1            --  
                   aten::empty         0.87%      12.000us         0.87%      12.000us       0.923us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         1.46%      20.000us         2.62%      36.000us       9.000us             4            --  
        aten::reflection_pad2d         1.97%      27.000us         2.26%      31.000us       7.750us             4            --  
                 aten::resize_         0.15%       2.000us         0.15%       2.000us       0.400us             5            --  
                  aten::conv2d         2.62%      36.000us        79.08%       1.085ms     271.250us             4            --  
               aten::unsqueeze         1.31%      18.000us         1.53%      21.000us       4.200us             5            --  
             aten::convolution         2.41%      33.000us        73.18%       1.004ms     251.000us             4            --  
            aten::_convolution         1.97%      27.000us        70.77%     971.000us     242.750us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.29%       4.000us         6.12%      84.000us      84.000us             1            --  
    aten::_slow_conv2d_forward         5.54%      76.000us         5.83%      80.000us      80.000us             1            --  
                    aten::view         0.07%       1.000us         0.07%       1.000us       1.000us             1            --  
                 aten::squeeze         1.60%      22.000us         1.97%      27.000us       6.750us             4            --  
                    aten::relu         1.38%      19.000us         2.41%      33.000us       8.250us             4            --  
               aten::clamp_min         1.02%      14.000us         1.02%      14.000us       3.500us             4            --  
      aten::mkldnn_convolution        61.81%     848.000us        62.68%     860.000us     286.667us             3            --  
             aten::as_strided_         0.44%       6.000us         0.44%       6.000us       2.000us             3            --  
                     aten::add         0.66%       9.000us         0.66%       9.000us       9.000us             1       900.000  
                     aten::cat         1.31%      18.000us         1.90%      26.000us      26.000us             1            --  
                  aten::narrow         0.29%       4.000us         0.51%       7.000us       1.750us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.372ms



For N = 40 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         3.19%      37.000us         3.36%      39.000us       2.600us            15            --  
              aten::as_strided         0.86%      10.000us         0.86%      10.000us       0.278us            36            --  
                  aten::select         2.33%      27.000us         2.33%      27.000us       2.250us            12            --  
                   aten::clamp         1.29%      15.000us         4.22%      49.000us      24.500us             2            --  
                      aten::to         1.12%      13.000us         2.50%      29.000us       5.800us             5            --  
                aten::_to_copy         1.29%      15.000us         2.15%      25.000us       5.000us             5            --  
           aten::empty_strided         0.26%       3.000us         0.26%       3.000us       0.600us             5            --  
                   aten::copy_         0.60%       7.000us         0.60%       7.000us       1.400us             5            --  
                    aten::item         0.17%       2.000us         0.17%       2.000us       2.000us             1            --  
     aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::mul         1.98%      23.000us         2.33%      27.000us      27.000us             1         1.600  
                     aten::sub         0.52%       6.000us         0.52%       6.000us       3.000us             2            --  
                     aten::min         0.60%       7.000us         0.69%       8.000us       8.000us             1            --  
                   aten::empty         1.29%      15.000us         1.29%      15.000us       1.154us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         1.29%      15.000us         3.45%      40.000us      10.000us             4            --  
        aten::reflection_pad2d         2.50%      29.000us         2.84%      33.000us       8.250us             4            --  
                 aten::resize_         0.17%       2.000us         0.17%       2.000us       0.400us             5            --  
                  aten::conv2d         1.89%      22.000us        77.17%     896.000us     224.000us             4            --  
               aten::unsqueeze         1.29%      15.000us         1.64%      19.000us       3.800us             5            --  
             aten::convolution         2.67%      31.000us        72.09%     837.000us     209.250us             4            --  
            aten::_convolution         2.24%      26.000us        69.42%     806.000us     201.500us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.26%       3.000us         6.20%      72.000us      72.000us             1            --  
    aten::_slow_conv2d_forward         5.17%      60.000us         5.94%      69.000us      69.000us             1            --  
                    aten::view         0.09%       1.000us         0.09%       1.000us       1.000us             1            --  
                 aten::squeeze         1.46%      17.000us         1.81%      21.000us       5.250us             4            --  
                    aten::relu         1.46%      17.000us         2.58%      30.000us       7.500us             4            --  
               aten::clamp_min         1.12%      13.000us         1.12%      13.000us       3.250us             4            --  
      aten::mkldnn_convolution        60.29%     700.000us        60.98%     708.000us     236.000us             3            --  
             aten::as_strided_         0.34%       4.000us         0.34%       4.000us       1.333us             3            --  
                     aten::add         0.52%       6.000us         0.52%       6.000us       6.000us             1         1.600  
                     aten::cat         1.55%      18.000us         2.07%      24.000us      24.000us             1            --  
                  aten::narrow         0.17%       2.000us         0.52%       6.000us       1.500us             4            --  
