For N = 10 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::detach_         0.00%       3.000us         0.00%       4.000us       2.000us             2            --  
                                                detach_         0.00%       1.000us         0.00%       1.000us       0.500us             2            --  
                                           aten::linear         0.00%      12.000us         0.01%      90.000us      45.000us             2            --  
                                                aten::t         0.00%      12.000us         0.00%      19.000us       9.500us             2            --  
                                        aten::transpose         0.00%      24.000us         0.00%      31.000us       5.167us             6            --  
                                           aten::matmul         0.00%      14.000us         0.00%      46.000us      23.000us             2            --  
                                        aten::unsqueeze         0.00%       9.000us         0.00%      10.000us       3.333us             3            --  
                                               aten::mm         0.00%      15.000us         0.00%      15.000us       7.500us             2            --  
                                         aten::squeeze_         0.00%       7.000us         0.00%      11.000us       5.500us             2            --  
                                      aten::as_strided_         0.00%       4.000us         0.00%       4.000us       2.000us             2            --  
                                             aten::rsub         0.00%      24.000us         0.00%      71.000us      14.200us             5            --  
                                             aten::sqrt         0.00%      11.000us         0.00%      11.000us       5.500us             2            --  
                                              aten::cat         0.00%      19.000us         0.00%      19.000us       3.800us             5            --  
                                           aten::conv2d         0.00%      10.000us         0.02%     283.000us      94.333us             3       216.000  
                                      aten::convolution         0.00%      32.000us         0.02%     273.000us      91.000us             3            --  
                                     aten::_convolution         0.00%      31.000us         0.02%     241.000us      80.333us             3            --  
                                aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             3            --  
                                      aten::thnn_conv2d         0.00%       9.000us         0.01%     198.000us      66.000us             3            --  
                             aten::_slow_conv2d_forward         0.01%     155.000us         0.01%     189.000us      63.000us             3            --  
                                             aten::view         0.00%      24.000us         0.00%      24.000us       2.400us            10            --  
                                          aten::resize_         0.00%       5.000us         0.00%       5.000us       1.250us             4            --  
                                          aten::reshape         0.00%      10.000us         0.00%      12.000us       6.000us             2            --  
                                   aten::_reshape_alias         0.00%       2.000us         0.00%       2.000us       1.000us             2            --  
                                             aten::relu         0.00%      28.000us         0.00%      59.000us      11.800us             5            --  
                                        aten::clamp_min         0.00%      31.000us         0.00%      31.000us       6.200us             5            --  
                                          aten::permute         0.00%      29.000us         0.00%      34.000us       8.500us             4            --  
                                             aten::lstm         0.00%      44.000us         0.07%       1.168ms     584.000us             2            --  
                              aten::cudnn_is_acceptable         0.00%       0.000us         0.00%       0.000us       0.000us             2            --  
                                       aten::contiguous         0.00%       4.000us         0.00%      36.000us      12.000us             3            --  
                                 aten::mkldnn_rnn_layer         0.07%       1.016ms         0.07%       1.032ms     516.000us             2            --  
                                            aten::stack         0.00%      27.000us         0.00%      40.000us      10.000us             4            --  
                                              aten::pad         0.00%       4.000us         0.00%      30.000us      30.000us             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.558s



For N = 60 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         4.82%     176.906ms         7.93%     290.968ms       4.106us         70857            --  
                                            aten::empty         1.98%      72.791ms         1.98%      72.791ms       0.876us         83075            --  
                                            aten::zero_         1.52%      55.907ms         1.52%      55.907ms       0.728us         76782            --  
                                              aten::add         9.31%     341.320ms         9.33%     342.045ms       9.622us         35547    127939.960  
                                               aten::to         1.06%      39.010ms         4.00%     146.773ms       6.081us         24137            --  
                                         aten::_to_copy         1.69%      61.834ms         3.04%     111.551ms       6.135us         18184            --  
                                    aten::empty_strided         0.95%      34.973ms         0.95%      34.973ms       1.443us         24234            --  
                                            aten::copy_         8.39%     307.566ms         8.39%     307.566ms       2.590us        118766            --  
                                              aten::div         0.00%      72.000us         0.00%     100.000us      14.286us             7            --  
                                            aten::slice        25.00%     916.983ms        28.19%        1.034s       4.168us        248024            --  
                                       aten::as_strided         3.63%     133.027ms         3.63%     133.027ms       0.523us        254204            --  
                                           aten::select         0.01%     405.000us         0.01%     421.000us       3.935us           107            --  
                                            aten::clone         0.50%      18.389ms         1.30%      47.705ms       7.889us          6047            --  
                                              aten::sub         2.08%      76.338ms         2.09%      76.493ms       6.396us         11960            --  
                                              aten::mul         4.10%     150.270ms         8.21%     301.293ms      16.709us         18032     64708.153  
                                         aten::allclose         0.03%       1.043ms         0.66%      24.098ms     200.817us           120            --  
                                          aten::isclose         0.09%       3.145ms         0.58%      21.328ms     177.733us           120            --  
                                               aten::eq         0.05%       1.854ms         0.05%       1.854ms       7.725us           240            --  
                                              aten::abs         0.10%       3.720ms         0.17%       6.172ms       8.572us           720            --  
                                         aten::isfinite         0.03%       1.107ms         0.12%       4.426ms      36.883us           120            --  
                                               aten::ne         0.03%       1.160ms         0.05%       1.817ms      15.142us           120            --  
                                               aten::le         0.02%     642.000us         0.02%     642.000us       5.350us           120            --  
                                         aten::__iand__         0.01%     409.000us         0.03%       1.129ms       9.408us           120            --  
                                     aten::bitwise_and_         0.02%     835.000us         0.02%     835.000us       6.958us           120            --  
                                          aten::__ior__         0.01%     277.000us         0.02%     678.000us       5.650us           120            --  
                                      aten::bitwise_or_         0.01%     437.000us         0.01%     437.000us       3.642us           120            --  
                                              aten::all         0.04%       1.309ms         0.04%       1.458ms      12.150us           120            --  
                                            aten::fill_         0.00%       3.000us         0.00%       3.000us       0.024us           123            --  
                                             aten::item         0.01%     265.000us         0.01%     271.000us       2.185us           124            --  
                              aten::_local_scalar_dense         0.00%       8.000us         0.00%       8.000us       0.065us           124            --  
                                       aten::zeros_like         0.38%      14.010ms         0.70%      25.550ms       4.317us          5918            --  
                                       aten::empty_like         0.45%      16.525ms         0.67%      24.721ms       2.088us         11842            --  
                                               aten::lt         0.00%      42.000us         0.00%     131.000us      13.100us            10            --  
                                               aten::gt         0.00%      35.000us         0.00%      72.000us       7.200us            10            --  
                                              aten::pow         0.01%     229.000us         0.01%     237.000us       6.971us            34            --  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us            34            --  
                                             aten::add_         1.67%      61.188ms         1.67%      61.188ms       2.589us         23638            --  
                                             aten::mean         0.00%      55.000us         0.00%     114.000us      57.000us             2            --  
                                              aten::sum         0.00%      28.000us         0.00%      29.000us      14.500us             2            --  
                                             aten::div_         0.00%      19.000us         0.00%      30.000us      15.000us             2            --  
                                        aten::ones_like         0.00%       3.000us         0.00%       6.000us       6.000us             1            --  
     autograd::engine::evaluate_function: MeanBackward0         0.00%      18.000us         0.00%     118.000us     118.000us             1            --  
                                          MeanBackward0         0.00%      47.000us         0.00%     100.000us     100.000us             1            --  
                                           aten::expand         0.00%      12.000us         0.00%      15.000us      15.000us             1            --  
autograd::engine::evaluate_function: torch::autograd...         1.53%      56.104ms         8.29%     303.983ms      51.348us          5920            --  
                            torch::autograd::CopySlices         2.57%      94.296ms         6.76%     247.879ms      41.871us          5920            --  
                                aten::new_empty_strided         0.39%      14.285ms         0.59%      21.597ms       3.648us          5920            --  
                         torch::autograd::CopyBackwards         0.50%      18.296ms         1.20%      43.947ms       7.430us          5915            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%      31.000us         0.01%     188.000us      37.600us             5            --  
                                     AsStridedBackward0         0.00%      68.000us         0.00%     141.000us      28.200us             5            --  
                                          aten::squeeze         0.00%      24.000us         0.00%      30.000us       5.000us             6            --  
                                        aten::new_zeros         0.00%      20.000us         0.00%      33.000us       6.600us             5            --  
                                        aten::new_empty         0.00%       6.000us         0.00%      11.000us       2.200us             5            --  
                                           AddBackward0         0.27%       9.755ms         0.27%       9.755ms       0.551us         17713            --  
      autograd::engine::evaluate_function: MulBackward0         0.64%      23.530ms         3.88%     142.213ms      24.022us          5920            --  
                                           MulBackward0         0.72%      26.376ms         3.18%     116.665ms      19.707us          5920            --  
      autograd::engine::evaluate_function: PowBackward0         0.00%      55.000us         0.01%     330.000us      33.000us            10            --  
                                           PowBackward0         0.00%      60.000us         0.01%     275.000us      27.500us            10            --  
      autograd::engine::evaluate_function: SubBackward0         0.46%      16.961ms         0.49%      18.043ms       3.050us          5916            --  
                                           SubBackward0         0.03%       1.076ms         0.03%       1.076ms       0.182us          5916            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%      10.000us         0.01%     207.000us      17.250us            12            --  
                                        SelectBackward0         0.00%      59.000us         0.00%     174.000us      14.500us            12            --  
                                  aten::select_backward         0.00%      52.000us         0.00%     138.000us      11.500us            12            --  
    autograd::engine::evaluate_function: SliceBackward0         7.53%     276.264ms        39.90%        1.464s      20.661us         70838            --  
                                         SliceBackward0         6.29%     230.636ms        28.68%        1.052s      14.848us         70838            --  
                                   aten::slice_backward         9.07%     332.553ms        24.34%     892.584ms      12.600us         70838            --  
      autograd::engine::evaluate_function: AddBackward0         1.92%      70.563ms         2.19%      80.317ms       4.535us         17709            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             2            --  
                                          aten::detach_         0.00%       3.000us         0.00%       5.000us       2.500us             2            --  
                                                detach_         0.00%       2.000us         0.00%       2.000us       1.000us             2            --  
                                           aten::linear         0.00%      36.000us         0.00%     180.000us      90.000us             2            --  
                                                aten::t         0.00%      26.000us         0.00%      37.000us      18.500us             2            --  
                                        aten::transpose         0.00%      33.000us         0.00%      43.000us       7.167us             6            --  
                                           aten::matmul         0.00%      41.000us         0.00%      90.000us      45.000us             2            --  
                                        aten::unsqueeze         0.00%      11.000us         0.00%      12.000us       4.000us             3            --  
                                               aten::mm         0.00%      21.000us         0.00%      21.000us      10.500us             2            --  
                                         aten::squeeze_         0.00%      16.000us         0.00%      21.000us      10.500us             2            --  
                                      aten::as_strided_         0.00%       5.000us         0.00%       5.000us       2.500us             2            --  
                                             aten::rsub         0.00%      27.000us         0.00%      82.000us      16.400us             5            --  
                                             aten::sqrt         0.00%      15.000us         0.00%      15.000us       7.500us             2            --  
                                              aten::cat         0.00%      23.000us         0.00%      23.000us       4.600us             5            --  
                                           aten::conv2d         0.00%      11.000us         0.01%     424.000us     141.333us             3       259.200  
                                      aten::convolution         0.00%      33.000us         0.01%     413.000us     137.667us             3            --  
                                     aten::_convolution         0.00%      21.000us         0.01%     380.000us     126.667us             3            --  
                                aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             3            --  
                                      aten::thnn_conv2d         0.00%      10.000us         0.01%     328.000us     109.333us             3            --  
                             aten::_slow_conv2d_forward         0.01%     249.000us         0.01%     318.000us     106.000us             3            --  
                                             aten::view         0.00%      49.000us         0.00%      49.000us       4.900us            10            --  
                                          aten::resize_         0.00%       9.000us         0.00%       9.000us       2.250us             4            --  
                                          aten::reshape         0.00%      28.000us         0.00%      32.000us      16.000us             2            --  
                                   aten::_reshape_alias         0.00%       4.000us         0.00%       4.000us       2.000us             2            --  
                                             aten::relu         0.00%      32.000us         0.00%      60.000us      12.000us             5            --  
                                        aten::clamp_min         0.00%      28.000us         0.00%      28.000us       5.600us             5            --  
                                          aten::permute         0.00%      32.000us         0.00%      38.000us       9.500us             4            --  
                                             aten::lstm         0.00%     101.000us         0.05%       1.744ms     872.000us             2            --  
                              aten::cudnn_is_acceptable         0.00%       1.000us         0.00%       1.000us       0.500us             2            --  
                                       aten::contiguous         0.00%      20.000us         0.00%      45.000us      15.000us             3            --  
                                 aten::mkldnn_rnn_layer         0.04%       1.506ms         0.04%       1.527ms     763.500us             2            --  
                                            aten::stack         0.00%      30.000us         0.00%      48.000us      12.000us             4            --  
                                              aten::pad         0.00%       3.000us         0.00%      36.000us      36.000us             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.668s



For N = 70 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         5.93%     218.792ms         9.64%     355.402ms       3.895us         91257            --  
                                            aten::empty         1.77%      65.338ms         1.77%      65.338ms       0.611us        106977            --  
                                            aten::zero_         2.36%      86.897ms         2.36%      86.897ms       0.879us         98882            --  
                                              aten::add         9.19%     338.934ms         9.21%     339.778ms       7.422us         45782    224295.640  
                                               aten::to         0.90%      33.053ms         3.85%     142.159ms       4.580us         31039            --  
                                         aten::_to_copy         1.99%      73.295ms         3.29%     121.477ms       5.194us         23386            --  
                                    aten::empty_strided         0.94%      34.506ms         0.94%      34.506ms       1.107us         31170            --  
                                            aten::copy_         8.71%     321.205ms         8.71%     321.205ms       2.101us        152902            --  
                                              aten::div         0.00%      63.000us         0.00%      92.000us      13.143us             7            --  
                                            aten::slice        23.82%     878.460ms        24.56%     905.757ms       2.836us        319424            --  
                                       aten::as_strided         1.14%      41.989ms         1.14%      41.989ms       0.128us        327338            --  
                                           aten::select         0.01%     388.000us         0.01%     423.000us       3.953us           107            --  
                                            aten::clone         0.86%      31.728ms         1.69%      62.377ms       8.017us          7781            --  
                                              aten::sub         2.15%      79.362ms         2.16%      79.495ms       5.164us         15394            --  
                                              aten::mul         4.10%     151.065ms         8.32%     306.909ms      13.230us         23198    113399.841  
                                         aten::allclose         0.03%       1.118ms         0.83%      30.647ms     199.006us           154            --  
                                          aten::isclose         0.09%       3.313ms         0.75%      27.485ms     178.474us           154            --  
                                               aten::eq         0.06%       2.268ms         0.06%       2.268ms       7.364us           308            --  
                                              aten::abs         0.14%       5.297ms         0.24%       8.978ms       9.716us           924            --  
                                         aten::isfinite         0.03%       1.215ms         0.14%       5.182ms      33.649us           154            --  
                                               aten::ne         0.04%       1.438ms         0.06%       2.212ms      14.364us           154            --  
                                               aten::le         0.02%     859.000us         0.02%     859.000us       5.578us           154            --  
                                         aten::__iand__         0.01%     533.000us         0.04%       1.472ms       9.558us           154            --  
                                     aten::bitwise_and_         0.03%       1.129ms         0.03%       1.129ms       7.331us           154            --  
                                          aten::__ior__         0.01%     386.000us         0.03%     941.000us       6.110us           154            --  
                                      aten::bitwise_or_         0.02%     630.000us         0.02%     630.000us       4.091us           154            --  
                                              aten::all         0.04%       1.552ms         0.05%       1.711ms      11.110us           154            --  
                                            aten::fill_         0.00%       2.000us         0.00%       2.000us       0.013us           157            --  
                                             aten::item         0.01%     337.000us         0.01%     338.000us       2.139us           158            --  
                              aten::_local_scalar_dense         0.00%       2.000us         0.00%       2.000us       0.013us           158            --  
                                       aten::zeros_like         0.45%      16.661ms         0.80%      29.600ms       3.886us          7618            --  
                                       aten::empty_like         0.50%      18.416ms         0.63%      23.296ms       1.528us         15242            --  
                                               aten::lt         0.00%      41.000us         0.00%      95.000us       9.500us            10            --  
                                               aten::gt         0.00%      39.000us         0.00%      77.000us       7.700us            10            --  
                                              aten::pow         0.01%     272.000us         0.01%     280.000us       8.235us            34            --  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us            34            --  
                                             aten::add_         1.88%      69.199ms         1.88%      69.199ms       2.273us         30438            --  
                                             aten::mean         0.00%      54.000us         0.00%     116.000us      58.000us             2            --  
                                              aten::sum         0.00%      30.000us         0.00%      31.000us      15.500us             2            --  
                                             aten::div_         0.00%      20.000us         0.00%      31.000us      15.500us             2            --  
                                        aten::ones_like         0.00%       3.000us         0.00%       7.000us       7.000us             1            --  
     autograd::engine::evaluate_function: MeanBackward0         0.00%      17.000us         0.00%     112.000us     112.000us             1            --  
                                          MeanBackward0         0.00%      44.000us         0.00%      95.000us      95.000us             1            --  
                                           aten::expand         0.00%       9.000us         0.00%      12.000us      12.000us             1            --  
autograd::engine::evaluate_function: torch::autograd...         1.59%      58.777ms         8.99%     331.492ms      43.503us          7620            --  
                            torch::autograd::CopySlices         2.57%      94.842ms         7.39%     272.715ms      35.789us          7620            --  
                                aten::new_empty_strided         0.39%      14.385ms         0.59%      21.640ms       2.840us          7620            --  
                         torch::autograd::CopyBackwards         0.53%      19.578ms         1.34%      49.353ms       6.481us          7615            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%      30.000us         0.01%     192.000us      38.400us             5            --  
                                     AsStridedBackward0         0.00%      63.000us         0.00%     140.000us      28.000us             5            --  
                                          aten::squeeze         0.00%      23.000us         0.00%      27.000us       4.500us             6            --  
                                        aten::new_zeros         0.00%      20.000us         0.00%      37.000us       7.400us             5            --  
                                        aten::new_empty         0.00%      12.000us         0.00%      17.000us       3.400us             5            --  
                                           AddBackward0         0.20%       7.369ms         0.20%       7.369ms       0.323us         22813            --  
      autograd::engine::evaluate_function: MulBackward0         0.61%      22.378ms         4.25%     156.791ms      20.576us          7620            --  
                                           MulBackward0         0.84%      30.957ms         3.51%     129.284ms      16.966us          7620            --  
      autograd::engine::evaluate_function: PowBackward0         0.00%      55.000us         0.01%     337.000us      33.700us            10            --  
                                           PowBackward0         0.00%      72.000us         0.01%     282.000us      28.200us            10            --  
      autograd::engine::evaluate_function: SubBackward0         0.50%      18.472ms         0.52%      19.052ms       2.502us          7616            --  
                                           SubBackward0         0.02%     573.000us         0.02%     573.000us       0.075us          7616            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%      17.000us         0.01%     218.000us      18.167us            12            --  
                                        SelectBackward0         0.00%      50.000us         0.00%     183.000us      15.250us            12            --  
                                  aten::select_backward         0.00%      59.000us         0.00%     148.000us      12.333us            12            --  
    autograd::engine::evaluate_function: SliceBackward0         5.88%     216.805ms        42.11%        1.553s      17.021us         91238            --  
                                         SliceBackward0         6.53%     240.747ms        31.85%        1.175s      12.876us         91238            --  
                                   aten::slice_backward        10.72%     395.361ms        27.71%        1.022s      11.202us         91238            --  
      autograd::engine::evaluate_function: AddBackward0         2.30%      84.783ms         2.50%      92.152ms       4.040us         22809            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             2            --  
                                          aten::detach_         0.00%       3.000us         0.00%       5.000us       2.500us             2            --  
                                                detach_         0.00%       2.000us         0.00%       2.000us       1.000us             2            --  
                                           aten::linear         0.00%      34.000us         0.00%     178.000us      89.000us             2            --  
                                                aten::t         0.00%      34.000us         0.00%      47.000us      23.500us             2            --  
                                        aten::transpose         0.00%      74.000us         0.00%      85.000us      14.167us             6            --  
                                           aten::matmul         0.00%      43.000us         0.00%      82.000us      41.000us             2            --  
                                        aten::unsqueeze         0.00%      12.000us         0.00%      13.000us       4.333us             3            --  
                                               aten::mm         0.00%      17.000us         0.00%      17.000us       8.500us             2            --  
                                         aten::squeeze_         0.00%      10.000us         0.00%      14.000us       7.000us             2            --  
                                      aten::as_strided_         0.00%       4.000us         0.00%       4.000us       2.000us             2            --  
                                             aten::rsub         0.00%      25.000us         0.00%      76.000us      15.200us             5            --  
                                             aten::sqrt         0.00%      13.000us         0.00%      13.000us       6.500us             2            --  
                                              aten::cat         0.00%      21.000us         0.00%      21.000us       4.200us             5            --  
                                           aten::conv2d         0.00%      13.000us         0.01%     470.000us     156.667us             3       302.400  
                                      aten::convolution         0.00%      35.000us         0.01%     457.000us     152.333us             3            --  
                                     aten::_convolution         0.00%      51.000us         0.01%     422.000us     140.667us             3            --  
                                aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             3            --  
                                      aten::thnn_conv2d         0.00%      12.000us         0.01%     356.000us     118.667us             3            --  
                             aten::_slow_conv2d_forward         0.01%     288.000us         0.01%     344.000us     114.667us             3            --  
                                             aten::view         0.00%      43.000us         0.00%      43.000us       4.300us            10            --  
                                          aten::resize_         0.00%      10.000us         0.00%      10.000us       2.500us             4            --  
                                          aten::reshape         0.00%      21.000us         0.00%      24.000us      12.000us             2            --  
                                   aten::_reshape_alias         0.00%       3.000us         0.00%       3.000us       1.500us             2            --  
                                             aten::relu         0.00%      32.000us         0.00%      61.000us      12.200us             5            --  
                                        aten::clamp_min         0.00%      29.000us         0.00%      29.000us       5.800us             5            --  
                                          aten::permute         0.00%      30.000us         0.00%      35.000us       8.750us             4            --  
                                             aten::lstm         0.00%      79.000us         0.06%       2.083ms       1.042ms             2            --  
                              aten::cudnn_is_acceptable         0.00%       0.000us         0.00%       0.000us       0.000us             2            --  
                                       aten::contiguous         0.00%       4.000us         0.00%      40.000us      13.333us             3            --  
                                 aten::mkldnn_rnn_layer         0.05%       1.806ms         0.05%       1.829ms     914.500us             2            --  
                                            aten::stack         0.00%      58.000us         0.00%      73.000us      18.250us             4            --  
                                              aten::pad         0.00%       3.000us         0.00%      31.000us      31.000us             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.688s



For N = 80 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         4.85%     320.309ms         8.41%     555.234ms       4.868us        114057            --  
                                            aten::empty         2.14%     140.981ms         2.14%     140.981ms       1.055us        133691            --  
                                            aten::zero_         1.93%     127.081ms         1.93%     127.081ms       1.028us        123582            --  
                                              aten::add        10.21%     673.646ms        10.22%     674.761ms      11.792us         57221    366172.016  
                                               aten::to         0.65%      42.707ms         3.34%     220.330ms       5.685us         38753            --  
                                         aten::_to_copy         1.57%     103.456ms         2.85%     188.036ms       6.440us         29200            --  
                                    aten::empty_strided         1.05%      69.572ms         1.05%      69.572ms       1.787us         38922            --  
                                            aten::copy_         8.90%     587.462ms         8.90%     587.462ms       3.075us        191054            --  
                                              aten::div         0.00%      66.000us         0.00%      91.000us      13.000us             7            --  
                                            aten::slice        31.10%        2.053s        33.93%        2.240s       5.610us        399224            --  
                                       aten::as_strided         3.44%     227.375ms         3.44%     227.375ms       0.556us        409076            --  
                                           aten::select         0.01%     535.000us         0.01%     609.000us       5.692us           107            --  
                                            aten::clone         0.39%      25.585ms         1.07%      70.589ms       7.263us          9719            --  
                                              aten::sub         2.76%     182.359ms         2.76%     182.512ms       9.490us         19232            --  
                                              aten::mul         4.90%     323.254ms         8.42%     555.491ms      19.171us         28975    185096.589  
                                         aten::allclose         0.02%       1.349ms         0.75%      49.740ms     259.062us           192            --  
                                          aten::isclose         0.07%       4.455ms         0.69%      45.574ms     237.365us           192            --  
                                               aten::eq         0.06%       3.829ms         0.06%       3.829ms       9.971us           384            --  
                                              aten::abs         0.14%       9.247ms         0.25%      16.648ms      14.451us          1152            --  
                                         aten::isfinite         0.02%       1.431ms         0.13%       8.842ms      46.052us           192            --  
                                               aten::ne         0.04%       2.458ms         0.06%       3.631ms      18.911us           192            --  
                                               aten::le         0.02%       1.455ms         0.02%       1.455ms       7.578us           192            --  
                                         aten::__iand__         0.01%     682.000us         0.03%       2.287ms      11.911us           192            --  
                                     aten::bitwise_and_         0.03%       1.802ms         0.03%       1.802ms       9.385us           192            --  
                                          aten::__ior__         0.01%     467.000us         0.02%       1.368ms       7.125us           192            --  
                                      aten::bitwise_or_         0.01%     966.000us         0.01%     966.000us       5.031us           192            --  
                                              aten::all         0.03%       2.143ms         0.04%       2.422ms      12.615us           192            --  
                                            aten::fill_         0.00%      11.000us         0.00%      11.000us       0.056us           195            --  
                                             aten::item         0.01%     398.000us         0.01%     399.000us       2.036us           196            --  
                              aten::_local_scalar_dense         0.00%       1.000us         0.00%       1.000us       0.005us           196            --  
                                       aten::zeros_like         0.34%      22.658ms         0.88%      58.242ms       6.119us          9518            --  
                                       aten::empty_like         0.58%      38.126ms         0.84%      55.470ms       2.913us         19042            --  
                                               aten::lt         0.00%      57.000us         0.00%     113.000us      11.300us            10            --  
                                               aten::gt         0.00%      53.000us         0.00%     109.000us      10.900us            10            --  
                                              aten::pow         0.01%     342.000us         0.01%     353.000us      10.382us            34            --  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us            34            --  
                                             aten::add_         1.85%     122.197ms         1.85%     122.197ms       3.212us         38038            --  
                                             aten::mean         0.00%      47.000us         0.00%     106.000us      53.000us             2            --  
                                              aten::sum         0.00%      28.000us         0.00%      29.000us      14.500us             2            --  
                                             aten::div_         0.00%      18.000us         0.00%      30.000us      15.000us             2            --  
                                        aten::ones_like         0.00%       2.000us         0.00%       5.000us       5.000us             1            --  
     autograd::engine::evaluate_function: MeanBackward0         0.00%      19.000us         0.00%     119.000us     119.000us             1            --  
                                          MeanBackward0         0.00%      47.000us         0.00%     100.000us     100.000us             1            --  
                                           aten::expand         0.00%       9.000us         0.00%      12.000us      12.000us             1            --  
