epoch,trainingLoss
0,2.663075194810517
1,2.749843572732061
2,4.560193242970854
3,4.008023262023926
4,2.666363100055605
5,3.693822182249278
6,3.321325095370412
7,3.241080413805321
8,2.890515351202339
9,4.452648701146245
10,2.506219777278602
11,2.270942145958543
12,2.242378553142771
13,1.1310747540555894
14,1.5320924744009972
15,2.868900654488243
16,1.005510229151696
17,1.2213062914088368
18,2.052274867426604
19,1.2653539984021336
20,1.0834201191319153
21,0.9466960318386555
22,0.3628257861128077
23,2.1782274068682455
24,1.1569712348282337
25,0.44343515927903354
26,0.4392266699578613
27,0.8954359429189935
28,1.3619389527011663
29,0.47282430389896035
30,0.6143625981640071
31,1.1199299353174865
32,0.8812074547167867
33,0.6641188428038731
34,0.6553579038009048
35,1.3257809167262167
36,1.318704228848219
37,1.6775591662153602
38,0.5802249214611948
39,0.8920954312197864
40,0.9970465754158795
41,0.7201947588473558
42,0.7606349065899849
43,0.4149477216415107
44,0.7362530813552439
45,0.3442798611940816
46,0.4728377256542444
47,0.5010779071599245
48,0.27092481404542923
49,0.8033201738726348
50,1.739457411924377
51,1.7879074779339135
52,1.3755615507252514
53,1.7633742692414671
54,0.9152644056011923
55,0.7526138653047383
56,0.9279977302066982
57,1.3388533799443394
58,1.5636792497243732
59,1.5480630872771144
60,2.3008938014972955
61,1.942681536078453
62,2.879660426173359
63,2.1630266779102385
64,1.033119794446975
65,1.5814638908486813
66,1.7229854078032076
67,1.9096329463645816
68,0.9654208475258201
69,1.260836614528671
70,1.4229300797451288
71,0.925512634916231
72,1.1621824342291802
73,0.8478930944111198
74,0.8469039817573503
75,0.7412088781129569
76,0.6836329600773752
77,0.783240890596062
78,4.977758465800434
79,0.6601671620737761
80,0.6397720800014213
81,0.7673804592341185
82,0.8727650500368327
83,0.8895730513613671
84,0.854838359169662
85,0.8563265495467931
86,1.0151295808609575
87,0.559543832205236
88,1.2259991699829698
89,1.1275222881231457
90,1.2460335248615593
91,0.5961990784853697
92,1.2111671369057149
93,0.7922510439530015
94,0.6221243619220331
95,0.6565222276840359
96,0.611660631140694
97,0.8110115237068385
98,1.114734809845686
99,0.3917847105767578
100,1.6671382705681026
101,0.43758427165448666
102,1.043881480814889
103,0.7505148199852556
104,0.8502736201044172
105,0.40217691904399544
106,1.5232987771742046
107,0.4299971819855273
108,0.5603245199890807
109,1.4897404448129237
110,0.7244901983067393
111,0.46277472376823425
112,1.2497158264741302
113,0.5255195507779717
114,0.8757422976195812
115,0.8069162687752396
116,0.7929933830164373
117,0.6341388302389532
118,0.531945510301739
119,0.758247785968706
120,0.814687822945416
121,1.365693343570456
122,0.6502144052647054
123,0.5839017573744059
124,1.2871372469235212
125,1.0613823577295989
126,0.6153758821892552
127,0.73104277998209
128,0.7741747845429927
129,0.8064056339208037
130,0.6563355810940266
131,0.6627081010956317
132,1.1157207504147664
133,0.564366994658485
134,0.6532245525158942
135,0.7962337611243129
136,0.419260713737458
137,0.40952688502147794
138,1.5909788326825947
139,3.883767579915002
140,0.4476911728270352
141,1.4419268667697906
142,0.651340416399762
143,1.5718786348588765
144,1.3755049803294241
145,1.3025556632783264
146,0.9570513502694666
147,1.263741766102612
148,1.323746237438172
149,0.6426924746483564
150,1.021694014314562
151,1.399747949326411
152,1.051185883465223
153,1.1485551728401333
154,0.9605063807684928
155,0.9208580919075757
156,1.0982857388444245
157,1.3805562638444826
158,0.8307185736484826
159,1.1225522921886295
