i,cost,numIterations,objectiveScaled,objectiveUnscaled,dualInfeasibilityScaled,dualInfeasibilityUnscaled,constraintViolationScaled,constraintViolationUnscaled,variableBoundViolationScaled,variableBoundViolationUnscaled,complementarityScaled,complementarityUnscaled,overallNLPErrorScaled,overallNLPErrorUnscaled,numObjectiveFunctionEvals,numObjectiveGradientEvals,numEqualityConstraintEvals,numInequalityConstraintEvals,numEqualityConstraintJacobianEvals,numInequalityConstraintJacobianEvals,numLagrangianHessianEvals,totalSeconds,convergedToOptimalFlag
20,0.07266896963119507,18,0.07611841279685587,0.07611841279685587,9.097116342924799e-15,9.097116342924799e-15,2.220446049250313e-15,2.220446049250313e-15,0.0,0.0,1.3368494188524167e-09,1.3368494188524167e-09,1.3368494188524167e-09,1.3368494188524167e-09,19,19,19,0,19,0,18,0.113,1
21,0.05603587627410889,16,0.12047114371245685,0.12047114371245685,9.099471247546579e-15,9.099471247546579e-15,3.1086244689504383e-15,3.1086244689504383e-15,0.0,0.0,4.26480515190206e-09,4.26480515190206e-09,4.26480515190206e-09,4.26480515190206e-09,17,17,17,0,17,0,16,0.156,1
22,0.09412378072738647,20,0.05446607038200027,0.05446607038200027,2.5060980042313738e-14,2.5060980042313738e-14,7.771561172376096e-16,7.771561172376096e-16,0.0,0.0,7.364207776604514e-09,7.364207776604514e-09,7.364207776604514e-09,7.364207776604514e-09,21,21,21,0,21,0,20,0.2,1
23,0.12157624959945679,45,0.4654212515687316,0.4654212515687316,0.001570245622704764,0.001570245622704764,0.24383104441021616,0.24383104441021616,4.552455479256423e-08,4.552455479256423e-08,1.0428768872770957e-08,1.0428768872770957e-08,0.24383104441021616,0.24383104441021616,60,25,60,0,51,0,46,0.106,0
24,0.1519431173801422,122,0.07774298401330074,0.07774298401330074,0.00012718094998137786,0.00012718094998137786,0.010228617114737817,0.010228617114737817,9.98662097462244e-09,9.98662097462244e-09,3.030614782754059e-09,3.030614782754059e-09,0.010228617114737817,0.010228617114737817,162,76,162,0,133,0,123,1.858,0
25,0.08578206598758698,86,0.06252306951738608,0.06252306951738608,0.003012227230904557,0.003012227230904557,0.08736831292229208,0.08736831292229208,9.99851795802087e-09,9.99851795802087e-09,3.104642896082458e-09,3.104642896082458e-09,0.08736831292229208,0.08736831292229208,245,72,245,0,92,0,87,0.1,0
26,0.19361448287963867,47,0.2364760486229192,0.2364760486229192,0.0017623835976233171,0.0017623835976233171,0.4611757313224029,0.4611757313224029,3.702152673312753e-08,3.702152673312753e-08,3.4941119453781455e-09,3.4941119453781455e-09,0.4611757313224029,0.4611757313224029,59,22,59,0,52,0,48,0.083,0
27,0.026876451447606087,10,0.05821005973143075,0.05821005973143075,2.506177279815074e-14,2.506177279815074e-14,2.067790383364354e-15,2.067790383364354e-15,0.0,0.0,2.535280359405939e-09,2.535280359405939e-09,2.535280359405939e-09,2.535280359405939e-09,11,11,11,0,11,0,10,0.023,1
28,0.1715649962425232,20,0.11749728033951752,0.11749728033951752,9.097241810300496e-15,9.097241810300496e-15,2.6645352591003757e-15,2.6645352591003757e-15,0.0,0.0,3.1897131826699887e-09,3.1897131826699887e-09,3.1897131826699887e-09,3.1897131826699887e-09,21,21,21,0,21,0,20,0.136,1
29,0.12060835212469101,54,0.08345031243106392,0.08345031243106392,0.0014770970406766738,0.0014770970406766738,0.30335114691864395,0.30335114691864395,1.4105183243628971e-08,1.4105183243628971e-08,8.893014289510783e-09,8.893014289510783e-09,0.30335114691864395,0.30335114691864395,83,32,83,0,61,0,55,0.085,0
30,0.14172261953353882,144,0.07330888951490042,0.07330888951490042,0.00010564900038220004,0.00010564900038220004,0.007908129221867836,0.007908129221867836,9.986507731873928e-09,9.986507731873928e-09,3.0423049628552814e-09,3.0423049628552814e-09,0.007908129221867836,0.007908129221867836,201,100,201,0,159,0,145,2.782,0
31,0.1583811491727829,69,0.08935404840519706,0.08935404840519706,0.0010211869541197306,0.0010211869541197306,0.06955957990716495,0.06955957990716495,1.2413604588701332e-08,1.2413604588701332e-08,2.9552692353830854e-09,2.9552692353830854e-09,0.06955957990716495,0.06955957990716495,102,39,102,0,78,0,70,0.212,0
32,0.0988750159740448,70,0.06213205386949536,0.06213205386949536,0.00012852682434417396,0.00012852682434417396,0.05418497473753854,0.05418497473753854,9.992707772354947e-09,9.992707772354947e-09,2.6309455406544155e-09,2.6309455406544155e-09,0.05418497473753854,0.05418497473753854,90,39,90,0,77,0,71,0.769,0
33,0.06405235826969147,17,0.11283700545499767,0.11283700545499767,9.09832130436773e-15,9.09832130436773e-15,3.0487765090292385e-15,3.0487765090292385e-15,0.0,0.0,1.598660977369046e-09,1.598660977369046e-09,1.598660977369046e-09,1.598660977369046e-09,18,18,18,0,18,0,17,0.095,1
34,0.1604205071926117,57,0.15362338425421235,0.15362338425421235,0.001398265396723445,0.001398265396723445,0.13202706147218998,0.13202706147218998,2.7430267834915867e-08,2.7430267834915867e-08,1.6834855057981365e-09,1.6834855057981365e-09,0.13202706147218998,0.13202706147218998,70,27,70,0,62,0,58,0.136,0
35,0.11788991838693619,104,0.06479492473791386,0.06479492473791386,0.0004925819567728828,0.0004925819567728828,0.03611455015356853,0.03611455015356853,9.994461147577738e-09,9.994461147577738e-09,2.605171910711665e-09,2.605171910711665e-09,0.03611455015356853,0.03611455015356853,153,63,153,0,116,0,105,0.417,0
36,0.12066701054573059,22,0.4380611882370689,0.4380611882370689,9.099536925687215e-15,9.099536925687215e-15,6.217248937900877e-15,6.217248937900877e-15,0.0,0.0,1.4823949653252828e-09,1.4823949653252828e-09,1.4823949653252828e-09,1.4823949653252828e-09,23,23,23,0,23,0,22,0.169,1
37,0.07482559233903885,89,0.038878113208640805,0.038878113208640805,0.00013104574903833466,0.00013104574903833466,0.0033005066035564734,0.0033005066035564734,9.97834381788465e-09,9.97834381788465e-09,1.872924657000834e-08,1.872924657000834e-08,0.0033005066035564734,0.0033005066035564734,127,59,127,0,100,0,90,1.338,0
38,0.17087195813655853,25,0.16813402365561836,0.16813402365561836,2.5077162568720723e-14,2.5077162568720723e-14,3.279494731334154e-15,3.279494731334154e-15,0.0,0.0,4.2196765286900955e-09,4.2196765286900955e-09,4.2196765286900955e-09,4.2196765286900955e-09,26,26,26,0,26,0,25,0.267,1
39,0.07383126765489578,19,0.12012609380517643,0.12012609380517643,9.128791286398341e-15,9.128791286398341e-15,2.5118795932144167e-15,2.5118795932144167e-15,3.562048461747125e-09,3.562048461747125e-09,3.75055853112067e-09,3.75055853112067e-09,3.75055853112067e-09,3.75055853112067e-09,20,20,20,0,20,0,19,0.059,1
40,0.056939564645290375,16,0.047461523017507785,0.047461523017507785,9.097316056998303e-15,9.097316056998303e-15,1.1102230246251565e-15,1.1102230246251565e-15,0.0,0.0,5.922720235238311e-09,5.922720235238311e-09,5.922720235238311e-09,5.922720235238311e-09,17,17,17,0,17,0,16,0.035,1
41,0.17955853044986725,62,0.09514106584293937,0.09514106584293937,0.00011155236756616543,0.00011155236756616543,0.3179315862706809,0.3179315862706809,9.987112248310837e-09,9.987112248310837e-09,3.186670669181403e-09,3.186670669181403e-09,0.3179315862706809,0.3179315862706809,84,27,84,0,69,0,63,0.742,0
42,0.05632002651691437,15,0.1139849674892087,0.1139849674892087,2.5066347333999235e-14,2.5066347333999235e-14,2.42861286636753e-15,2.42861286636753e-15,0.0,0.0,8.919926217419204e-09,8.919926217419204e-09,8.919926217419204e-09,8.919926217419204e-09,16,16,16,0,16,0,15,0.045,1
43,0.07008419930934906,55,0.22536323968381247,0.22536323968381247,0.0003600995285033228,0.0003600995285033228,0.14034061550035365,0.14034061550035365,3.0927631122779076e-08,3.0927631122779076e-08,8.014838745326312e-09,8.014838745326312e-09,0.14034061550035365,0.14034061550035365,69,23,69,0,61,0,56,0.687,0
44,0.16653451323509216,15,0.2265042595640837,0.2265042595640837,9.098541748000975e-15,9.098541748000975e-15,3.1086244689504383e-15,3.1086244689504383e-15,0.0,0.0,9.380253495784837e-10,9.380253495784837e-10,9.380253495784837e-10,9.380253495784837e-10,16,16,16,0,16,0,15,0.028,1
45,0.09526269882917404,15,0.07207614643291065,0.07207614643291065,2.5068474843775492e-14,2.5068474843775492e-14,1.8041124150158794e-15,1.8041124150158794e-15,0.0,0.0,5.879391738310698e-09,5.879391738310698e-09,5.879391738310698e-09,5.879391738310698e-09,16,16,16,0,16,0,15,0.036,1
46,0.18048320710659027,17,0.15271853488936732,0.15271853488936732,9.098274083108101e-15,9.098274083108101e-15,3.46077333457373e-15,3.46077333457373e-15,0.0,0.0,3.930590639572186e-09,3.930590639572186e-09,3.930590639572186e-09,3.930590639572186e-09,18,18,18,0,18,0,17,0.053,1
47,0.13343431055545807,24,0.13162203354993435,0.13162203354993435,9.105514463665769e-15,9.105514463665769e-15,1.8234112136861214e-15,1.8234112136861214e-15,0.0,0.0,3.0309899056913766e-09,3.0309899056913766e-09,3.0309899056913766e-09,3.0309899056913766e-09,25,25,25,0,25,0,24,0.181,1
48,0.04889345169067383,17,0.42383283508476166,0.42383283508476166,2.5073407201826957e-14,2.5073407201826957e-14,6.217248937900877e-15,6.217248937900877e-15,0.0,0.0,4.8424440855203834e-09,4.8424440855203834e-09,4.8424440855203834e-09,4.8424440855203834e-09,18,18,18,0,18,0,17,0.073,1
49,0.13552366197109222,14,0.09237621760778511,0.09237621760778511,2.5069812889479997e-14,2.5069812889479997e-14,1.3322676295501878e-15,1.3322676295501878e-15,0.0,0.0,4.014853541421553e-09,4.014853541421553e-09,4.014853541421553e-09,4.014853541421553e-09,15,15,15,0,15,0,14,0.046,1
50,0.1370381861925125,25,0.07406298655519453,0.07406298655519453,2.5065654264592985e-14,2.5065654264592985e-14,7.008282842946301e-16,7.008282842946301e-16,0.0,0.0,5.315614040624744e-09,5.315614040624744e-09,5.315614040624744e-09,5.315614040624744e-09,26,26,26,0,26,0,25,0.056,1
51,0.056706901639699936,15,0.1309448486244029,0.1309448486244029,9.09564799094141e-15,9.09564799094141e-15,5.329070518200751e-15,5.329070518200751e-15,0.0,0.0,3.0413305190936e-09,3.0413305190936e-09,3.0413305190936e-09,3.0413305190936e-09,16,16,16,0,16,0,15,0.071,1
52,0.13317200541496277,52,0.07572760849097565,0.07572760849097565,0.0038714548712124714,0.0038714548712124714,0.395373225865219,0.395373225865219,9.998979144665299e-09,9.998979144665299e-09,1.137596807592514e-09,1.137596807592514e-09,0.395373225865219,0.395373225865219,72,17,72,0,57,0,53,0.052,0
53,0.11490903049707413,23,0.099212355273949,0.099212355273949,9.094317874280065e-15,9.094317874280065e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,3.4051269121053834e-09,3.4051269121053834e-09,3.4051269121053834e-09,3.4051269121053834e-09,24,24,24,0,24,0,23,0.143,1
54,0.18424099683761597,19,0.41134338381089464,0.41134338381089464,9.095250387865026e-15,9.095250387865026e-15,5.883314668775341e-15,5.883314668775341e-15,0.0,0.0,2.768308442970175e-09,2.768308442970175e-09,2.768308442970175e-09,2.768308442970175e-09,20,20,20,0,20,0,19,0.301,1
55,0.11406896263360977,17,0.06465293511149918,0.06465293511149918,2.5061005456610878e-14,2.5061005456610878e-14,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0,7.334259172055109e-09,7.334259172055109e-09,7.334259172055109e-09,7.334259172055109e-09,18,18,18,0,18,0,17,0.084,1
56,0.03582500293850899,17,0.040473943645573114,0.040473943645573114,9.09541525509407e-15,9.09541525509407e-15,1.5543122344752192e-15,1.5543122344752192e-15,0.0,0.0,4.072781884790086e-09,4.072781884790086e-09,4.072781884790086e-09,4.072781884790086e-09,18,18,18,0,18,0,17,0.21,1
57,0.09905730187892914,18,0.2647262497236046,0.2647262497236046,9.104326941258101e-15,9.104326941258101e-15,4.597017211338539e-15,4.597017211338539e-15,0.0,0.0,2.419809667576981e-09,2.419809667576981e-09,2.419809667576981e-09,2.419809667576981e-09,19,19,19,0,19,0,18,0.087,1
58,0.12445098906755447,195,0.10874417930086358,0.10874417930086358,0.00016250455726696318,0.00016250455726696318,0.0023549354294109337,0.0023549354294109337,1.5072607384425396e-08,1.5072607384425396e-08,8.917975530963947e-09,8.917975530963947e-09,0.0023549354294109337,0.0023549354294109337,278,91,278,0,214,0,196,3.61,0
59,0.16436272859573364,252,0.08692207143295358,0.08692207143295358,9.847847172750335e-05,9.847847172750335e-05,0.002359026485000487,0.002359026485000487,9.97577220829271e-09,9.97577220829271e-09,4.09319939420355e-09,4.09319939420355e-09,0.002359026485000487,0.002359026485000487,325,136,325,0,270,0,253,5.751,0
60,0.13404032588005066,162,0.12598043973291384,0.12598043973291384,0.00026154498356289476,0.00026154498356289476,0.0058326244241496345,0.0058326244241496345,1.694589335521357e-08,1.694589335521357e-08,1.0053891792572337e-08,1.0053891792572337e-08,0.0058326244241496345,0.0058326244241496345,240,80,240,0,175,0,163,1.452,0
61,0.028257666155695915,17,0.05626636694693324,0.05626636694693324,2.5062851100043915e-14,2.5062851100043915e-14,2.0122792321330962e-15,2.0122792321330962e-15,0.0,0.0,7.607489085327773e-09,7.607489085327773e-09,7.607489085327773e-09,7.607489085327773e-09,18,18,18,0,18,0,17,0.045,1
62,0.13770557940006256,15,0.0943572553751846,0.0943572553751846,2.507010346810302e-14,2.507010346810302e-14,1.1102230246251565e-15,1.1102230246251565e-15,0.0,0.0,5.1321820757333095e-09,5.1321820757333095e-09,5.1321820757333095e-09,5.1321820757333095e-09,16,16,16,0,16,0,15,0.033,1
63,0.18458804488182068,12,0.2835291562418006,0.2835291562418006,2.5065983397483974e-14,2.5065983397483974e-14,4.638650574761982e-15,4.638650574761982e-15,0.0,0.0,3.002466330102332e-09,3.002466330102332e-09,3.002466330102332e-09,3.002466330102332e-09,13,13,13,0,13,0,12,0.044,1
64,0.05488462746143341,28,0.032695958494245586,0.032695958494245586,9.10008621331862e-15,9.10008621331862e-15,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0,4.375280576790002e-09,4.375280576790002e-09,4.375280576790002e-09,4.375280576790002e-09,29,29,29,0,29,0,28,0.342,1
65,0.10465757548809052,13,0.0849364364503002,0.0849364364503002,9.098651163109706e-15,9.098651163109706e-15,1.6887533038634217e-15,1.6887533038634217e-15,0.0,0.0,1.2090099781047057e-09,1.2090099781047057e-09,1.2090099781047057e-09,1.2090099781047057e-09,14,14,14,0,14,0,13,0.044,1
66,0.09022494405508041,18,0.12670006169623543,0.12670006169623543,2.5065886426066788e-14,2.5065886426066788e-14,2.6645352591003757e-15,2.6645352591003757e-15,0.0,0.0,3.3598106848858684e-09,3.3598106848858684e-09,3.3598106848858684e-09,3.3598106848858684e-09,19,19,19,0,19,0,18,0.132,1
67,0.15126465260982513,15,0.18219519627193387,0.18219519627193387,9.10492389020922e-15,9.10492389020922e-15,2.652392194768538e-15,2.652392194768538e-15,0.0,0.0,1.895498224420739e-09,1.895498224420739e-09,1.895498224420739e-09,1.895498224420739e-09,16,16,16,0,16,0,15,0.035,1
68,0.12574245035648346,79,0.06854682397991807,0.06854682397991807,0.0011134496478839978,0.0011134496478839978,0.0745314519986721,0.0745314519986721,9.997202510270142e-09,9.997202510270142e-09,2.074832372431056e-09,2.074832372431056e-09,0.0745314519986721,0.0745314519986721,117,51,117,0,88,0,80,0.164,0
69,0.17275048792362213,13,0.09536692960270629,0.09536692960270629,2.506476363922745e-14,2.506476363922745e-14,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,8.767165946768454e-09,8.767165946768454e-09,8.767165946768454e-09,8.767165946768454e-09,14,14,14,0,14,0,13,0.034,1
70,0.011796337552368641,22,0.05930927446742228,0.05930927446742228,2.506332974893255e-14,2.506332974893255e-14,2.220446049250313e-15,2.220446049250313e-15,0.0,0.0,2.585044445644829e-09,2.585044445644829e-09,2.585044445644829e-09,2.585044445644829e-09,23,23,23,0,23,0,22,0.252,1
71,0.14066973328590393,82,0.18432269021171155,0.18432269021171155,0.0004764242471186182,0.0004764242471186182,0.022046286855369683,0.022046286855369683,3.100644141440512e-08,3.100644141440512e-08,3.490935342511224e-09,3.490935342511224e-09,0.022046286855369683,0.022046286855369683,134,48,134,0,95,0,83,0.303,0
72,0.050087377429008484,10,0.30379701812413235,0.30379701812413235,2.5064400715388053e-14,2.5064400715388053e-14,5.495603971894525e-15,5.495603971894525e-15,0.0,0.0,2.538189595621752e-09,2.538189595621752e-09,2.538189595621752e-09,2.538189595621752e-09,11,11,11,0,11,0,10,0.023,1
73,0.19538016617298126,134,0.24538820820114363,0.24538820820114363,0.0005417160462768166,0.0005417160462768166,0.03806472440067975,0.03806472440067975,2.7063097096657884e-08,2.7063097096657884e-08,3.132181006316279e-09,3.132181006316279e-09,0.03806472440067975,0.03806472440067975,175,54,175,0,143,0,135,0.61,0
74,0.04672252759337425,15,0.21396686638428286,0.21396686638428286,9.103958965206319e-15,9.103958965206319e-15,5.4279497563314294e-15,5.4279497563314294e-15,0.0,0.0,2.4402074971492455e-09,2.4402074971492455e-09,2.4402074971492455e-09,2.4402074971492455e-09,16,16,16,0,16,0,15,0.059,1
75,0.0259118489921093,36,0.03426436860099691,0.03426436860099691,9.096889908022376e-15,9.096889908022376e-15,1.741011848577223e-15,1.741011848577223e-15,0.0,0.0,1.6367249858140655e-09,1.6367249858140655e-09,1.6367249858140655e-09,1.6367249858140655e-09,37,37,37,0,37,0,36,0.409,1
76,0.1564670205116272,18,0.09748911127300525,0.09748911127300525,9.106089018356164e-15,9.106089018356164e-15,9.037909309839165e-16,9.037909309839165e-16,0.0,0.0,1.829270791596037e-09,1.829270791596037e-09,1.829270791596037e-09,1.829270791596037e-09,19,19,19,0,19,0,18,0.057,1
77,0.13923484086990356,21,0.07359962522764583,0.07359962522764583,2.5062838391240983e-14,2.5062838391240983e-14,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,8.727010214009497e-09,8.727010214009497e-09,8.727010214009497e-09,8.727010214009497e-09,22,22,22,0,22,0,21,0.098,1
78,0.08890537172555923,55,0.046211400114598004,0.046211400114598004,0.0003106209005778737,0.0003106209005778737,0.03891507335310052,0.03891507335310052,9.99005733692826e-09,9.99005733692826e-09,3.8314865196812515e-09,3.8314865196812515e-09,0.03891507335310052,0.03891507335310052,72,34,72,0,62,0,56,0.286,0
79,0.0722125917673111,16,0.08191287972673086,0.08191287972673086,9.098958344798586e-15,9.098958344798586e-15,2.6645352591003757e-15,2.6645352591003757e-15,0.0,0.0,5.706948565190488e-09,5.706948565190488e-09,5.706948565190488e-09,5.706948565190488e-09,17,17,17,0,17,0,16,0.081,1
80,0.10161201655864716,13,0.057782926852715466,0.057782926852715466,2.506093004214084e-14,2.506093004214084e-14,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0,4.312063877024966e-09,4.312063877024966e-09,4.312063877024966e-09,4.312063877024966e-09,14,14,14,0,14,0,13,0.095,1
81,0.18246975541114807,47,0.11652611760714895,0.11652611760714895,0.002010651447574148,0.002010651447574148,0.5538511902782701,0.5538511902782701,1.604305355229485e-08,1.604305355229485e-08,2.0874653435868966e-09,2.0874653435868966e-09,0.5538511902782701,0.5538511902782701,64,22,64,0,53,0,48,0.071,0
82,0.1775044947862625,234,0.4499737821484997,0.4499737821484997,0.0004956534926138683,0.0004956534926138683,0.007019540220968848,0.007019540220968848,4.865974112533422e-08,4.865974112533422e-08,6.754286039803096e-09,6.754286039803096e-09,0.007019540220968848,0.007019540220968848,305,130,305,0,251,0,235,4.748,0
83,0.12487225979566574,15,0.08144304640965647,0.08144304640965647,2.5067710126052535e-14,2.5067710126052535e-14,1.5050894558443773e-15,1.5050894558443773e-15,0.0,0.0,4.958991645923236e-09,4.958991645923236e-09,4.958991645923236e-09,4.958991645923236e-09,16,16,16,0,16,0,15,0.233,1
84,0.06135687232017517,14,0.04143316523681389,0.04143316523681389,2.5067369337359535e-14,2.5067369337359535e-14,1.1102230246251565e-15,1.1102230246251565e-15,0.0,0.0,6.566449867899403e-09,6.566449867899403e-09,6.566449867899403e-09,6.566449867899403e-09,15,15,15,0,15,0,14,0.112,1
85,0.1686655431985855,70,0.3645829045930511,0.3645829045930511,0.000799972898829905,0.000799972898829905,0.04759802668855201,0.04759802668855201,3.7593265833635314e-08,3.7593265833635314e-08,9.269678605179271e-10,9.269678605179271e-10,0.04759802668855201,0.04759802668855201,97,30,97,0,78,0,71,0.279,0
86,0.1655496060848236,15,0.14065247764138428,0.14065247764138428,9.105030706109671e-15,9.105030706109671e-15,2.5656560209696977e-15,2.5656560209696977e-15,0.0,0.0,4.006445813400252e-09,4.006445813400252e-09,4.006445813400252e-09,4.006445813400252e-09,16,16,16,0,16,0,15,0.064,1
