i,cost
0,0.30820709466934204
1,0.11987823992967606
2,28.58964729309082
3,7.425471305847168
4,11.39985466003418
5,1.4978712797164917
6,0.19139564037322998
7,6.936942100524902
8,28.539457321166992
9,0.19233830273151398
10,28.373355865478516
11,18.196931838989258
12,13.733716011047363
13,7.273725986480713
14,12.27269172668457
15,2.3707945346832275
16,0.28808242082595825
17,0.4460647404193878
18,0.44680628180503845
19,0.030283372849225998
20,0.08180445432662964
21,0.09527464210987091
22,0.1198100745677948
23,5.68154764175415
24,26.08210563659668
25,0.8958384394645691
26,45.67129135131836
27,0.156241312623024
28,0.2480202317237854
29,5.332135200500488
30,15.409717559814453
31,3.331575632095337
32,16.976999282836914
33,0.16380593180656433
34,6.431869029998779
35,14.108805656433105
36,0.123897984623909
37,0.3916667699813843
38,0.3570965826511383
39,1.4179915189743042
40,0.0654979720711708
41,31.871034622192383
42,0.14971669018268585
43,29.569787979125977
44,0.19166085124015808
45,1.4747376441955566
46,0.4044932723045349
47,0.32447296380996704
48,0.04995988309383392
49,0.3567790687084198
50,0.4332457184791565
51,0.1500163972377777
52,30.751367568969727
53,0.11698422580957413
54,0.1862875372171402
55,0.13937512040138245
56,0.0732714831829071
57,0.13945244252681732
58,1.3879019021987915
59,0.5919971466064453
60,1.0375115871429443
61,0.020156191661953926
62,0.20945145189762115
63,0.7969278693199158
64,0.08259634673595428
65,0.2176510989665985
66,0.09435736387968063
67,0.19450494647026062
68,1.5233169794082642
69,0.2098921686410904
70,0.008966079913079739
71,2.6988184452056885
72,0.06394770741462708
73,10.900840759277344
74,0.09361281991004944
75,0.024729803204536438
76,0.46317654848098755
77,0.14707601070404053
78,31.796436309814453
79,0.09649389982223511
80,0.14732182025909424
81,21.833208084106445
82,3.906862497329712
83,0.22230803966522217
84,0.16001923382282257
85,29.17751693725586
86,0.3045524060726166
87,0.49398747086524963
88,0.03430325165390968
89,0.2532009482383728
90,46.56849670410156
91,1.4284719228744507
92,0.10053142160177231
93,0.09860469400882721
94,0.025049850344657898
95,1.8395723104476929
96,28.325716018676758
97,0.030969353392720222
98,0.24560000002384186
99,4.8574724197387695
100,0.09798043966293335
101,0.8773698210716248
102,50.965965270996094
103,0.2283911257982254
104,13.773503303527832
105,5.177712440490723
106,0.1215263307094574
107,2.091686725616455
108,1.0371778011322021
109,0.15301115810871124
110,0.20424918830394745
111,0.2878957986831665
112,0.24194423854351044
113,0.20894913375377655
114,15.092937469482422
115,0.21453997492790222
116,0.19375121593475342
117,0.17133724689483643
118,0.040639478713274
119,0.17133283615112305
120,0.19701358675956726
121,0.08067282289266586
122,26.999122619628906
123,0.2012726366519928
124,0.178781658411026
125,0.04525106027722359
126,0.12539716064929962
127,0.17053431272506714
128,3.494960069656372
129,11.744503021240234
130,0.41901805996894836
131,0.08871614933013916
132,0.2584061324596405
133,1.2298471927642822
134,0.11068225651979446
135,18.089874267578125
136,13.348600387573242
137,0.11590469628572464
138,24.786083221435547
139,0.7364663481712341
140,0.13942143321037292
141,37.07737731933594
142,0.019146982580423355
143,0.11385591328144073
144,0.11441777646541595
145,0.880578339099884
146,0.14306704699993134
147,0.1224059909582138
148,0.12818308174610138
149,0.25033289194107056
150,1.2839761972427368
151,14.697534561157227
152,0.17709599435329437
153,0.13457927107810974
154,1.3334121704101562
155,0.10031714290380478
156,27.165563583374023
157,0.1570446938276291
158,0.12116789817810059
159,0.21293339133262634
160,22.52382469177246
161,0.38873550295829773
162,0.2552688717842102
163,4.829375267028809
164,10.101490020751953
165,14.171198844909668
166,0.12077093869447708
167,0.2245282083749771
168,34.08367156982422
169,0.17111244797706604
170,0.21171753108501434
171,21.9678955078125
172,1.28849196434021
173,0.2160041332244873
174,0.11572819203138351
175,0.08911678194999695
176,26.16413116455078
177,0.3165738582611084
178,0.27579474449157715
179,0.1158294826745987
180,0.09878280013799667
181,1.1641699075698853
182,0.15520255267620087
183,27.30598258972168
184,0.11629613488912582
185,0.22130724787712097
186,0.3877018392086029
187,0.4041740298271179
188,0.10275183618068695
189,0.1935598999261856
190,0.6105092763900757
191,16.91824722290039
192,15.181117057800293
193,0.07851885259151459
194,50.184600830078125
195,0.6516216993331909
196,0.3380674123764038
197,0.326092392206192
198,0.117536261677742
199,0.10167495161294937
200,7.381135940551758
201,1.3109487295150757
202,0.15642186999320984
203,0.0794670581817627
204,0.2125641107559204
205,0.22506237030029297
206,15.691576957702637
207,0.17960764467716217
208,0.25837576389312744
209,0.31669434905052185
210,0.10210840404033661
211,0.2772352993488312
212,0.7720589637756348
213,0.599139928817749
214,0.054333366453647614
215,25.83721160888672
216,5.533265590667725
217,0.8952459692955017
218,2.3069634437561035
219,0.21451003849506378
220,3.594618797302246
221,0.17223218083381653
222,0.12735885381698608
223,0.11074898391962051
224,0.22549153864383698
225,0.8202056884765625
226,0.11833703517913818
227,0.29861411452293396
228,12.753155708312988
229,0.16118977963924408
230,42.113616943359375
231,0.15885478258132935
232,0.20404459536075592
233,0.10243595391511917
234,7.005878448486328
235,0.18412424623966217
236,0.1091320812702179
237,7.071290016174316
238,0.1878020018339157
239,45.49595260620117
240,18.58945083618164
241,0.03628743439912796
242,38.69922637939453
243,31.373146057128906
244,0.2267238199710846
245,39.20811080932617
246,3.2625532150268555
247,0.13235190510749817
248,1.6950970888137817
249,0.18637420237064362
250,9.96580982208252
251,4.914148807525635
252,0.15484391152858734
253,0.28502047061920166
254,25.17837905883789
255,1.0967315435409546
256,5.790616035461426
257,12.10049819946289
258,24.69713020324707
259,4.549404144287109
260,0.1549137532711029
