i,minNetCost,minNetCostIndex,firstIndexThatBeatIPOPT
0,0.1823689192533493,99,40
1,0.10046660900115967,99,65
2,2579.640869140625,98,-1
3,1470.76611328125,99,-1
4,869.6426391601562,78,-1
5,28.32671356201172,80,-1
6,0.15275774896144867,98,92
7,519.6148681640625,93,-1
8,4585.58349609375,89,-1
9,0.1475200206041336,99,28
10,3214.814453125,91,-1
11,1980.303466796875,94,-1
12,1581.111572265625,85,-1
13,1319.949462890625,94,-1
14,1526.448974609375,97,-1
15,224.10508728027344,94,-1
16,0.19393065571784973,99,-1
17,0.12253344058990479,99,16
18,0.16926923394203186,99,-1
19,0.010885343886911869,98,53
20,0.07134467363357544,99,61
21,0.04225531965494156,99,36
22,0.0933554396033287,99,63
23,887.1112060546875,99,-1
24,1547.4237060546875,96,-1
25,16.76466178894043,93,-1
26,4606.43212890625,82,-1
27,0.027186933904886246,79,-1
28,0.16878089308738708,99,53
29,754.065673828125,98,-1
30,875.944091796875,96,-1
31,307.44891357421875,99,-1
32,1284.9991455078125,89,-1
33,0.05334768071770668,99,37
34,232.45346069335938,99,-1
35,1843.152587890625,78,-1
36,0.09970743209123611,89,25
37,8.987435340881348,99,-1
38,0.1624106913805008,99,74
39,0.08729802072048187,99,-1
40,0.05668032541871071,99,89
41,2702.104248046875,95,-1
42,0.052394263446331024,99,53
43,1946.3758544921875,81,-1
44,0.16683059930801392,99,-1
45,0.1083248034119606,99,-1
46,0.19273710250854492,99,-1
47,0.13378450274467468,99,-1
48,0.03393831104040146,99,30
49,0.13158321380615234,98,49
50,0.14218677580356598,98,-1
51,0.04125002771615982,73,28
52,6879.70751953125,99,-1
53,0.11287882179021835,99,35
54,0.14822134375572205,99,34
55,0.11363954842090607,73,61
56,0.03262430801987648,99,42
57,0.07318451255559921,98,30
58,84.6090316772461,99,-1
59,17.769947052001953,99,-1
60,37.811893463134766,88,-1
61,0.024754801765084267,99,84
62,0.13774336874485016,99,-1
63,0.159431591629982,88,11
64,0.054942600429058075,97,-1
65,0.10633113980293274,99,-1
66,0.08322003483772278,99,39
67,0.13971149921417236,99,23
68,40.20082473754883,97,-1
69,0.17365822196006775,99,-1
70,0.007256713230162859,99,0
71,209.99009704589844,98,-1
72,0.0167633555829525,92,9
