i,minNetCost,minNetCostIndex,firstIndexThatBeatIPOPT
258,2.465360641479492,64,-1
259,0.8064584136009216,98,-1
260,0.07525674253702164,73,15
261,0.13241983950138092,85,34
262,1.430246114730835,90,-1
263,0.0870480015873909,86,37
264,0.13807125389575958,90,10
265,0.09272103756666183,97,9
266,3.8137099742889404,54,-1
267,0.10789954662322998,96,24
268,0.18065893650054932,99,-1
269,0.07902070879936218,99,8
270,0.16508416831493378,90,23
271,8.07072925567627,76,-1
272,6.2625298500061035,75,-1
273,0.1266774982213974,73,20
274,0.033219948410987854,97,30
275,5.4358296394348145,69,-1
276,0.1447497308254242,83,10
277,0.09482268244028091,80,0
278,0.1314161717891693,82,22
279,6.0640549659729,77,-1
280,0.028014712035655975,76,21
281,0.11771020293235779,92,8
282,0.05614042654633522,97,14
283,0.16453178226947784,99,43
284,3.8103017807006836,94,-1
285,0.1232621893286705,98,39
286,0.029589369893074036,99,25
287,0.10105077177286148,68,15
288,0.13696593046188354,99,18
289,0.11013129353523254,99,2
290,0.10041763633489609,95,0
291,2.0884082317352295,67,-1
292,0.13905638456344604,99,17
293,0.12862275540828705,98,21
294,1.1773642301559448,97,-1
295,0.11265042424201965,89,17
296,5.542243957519531,85,-1
297,0.18565036356449127,98,29
298,0.04068731144070625,80,6
299,0.10552863031625748,77,0
300,0.14808796346187592,99,0
301,0.10418793559074402,91,26
302,0.16752156615257263,84,19
303,0.0908108800649643,91,0
304,0.5504224300384521,87,-1
305,4.567083358764648,88,-1
306,0.06073199212551117,86,0
307,0.1149149015545845,99,17
308,0.13749457895755768,74,18
309,1.3395518064498901,56,-1
310,7.4587626457214355,73,-1
311,0.10253875702619553,97,44
312,1.7508867979049683,71,-1
313,0.10198087245225906,83,14
314,0.01886211894452572,84,0
315,0.05511554330587387,61,10
316,0.43677207827568054,84,-1
317,0.04429876431822777,78,16
318,0.07911091297864914,83,0
319,0.13596366345882416,92,60
320,0.08261141180992126,98,10
321,0.10045690089464188,86,17
322,0.14882957935333252,98,-1
323,5.326176643371582,99,-1
324,0.40475207567214966,88,-1
325,1.448662281036377,76,-1
326,1.665343165397644,96,-1
327,0.1426895558834076,89,22
328,0.10634445399045944,99,14
329,0.4362437129020691,99,-1
330,2.6591579914093018,72,-1
331,4.99909782409668,93,-1
332,0.44651633501052856,99,-1
333,0.05162206292152405,87,10
334,0.4915759265422821,65,-1
335,0.15868428349494934,85,27
336,4.038634777069092,66,-1
337,0.11437349021434784,55,13
338,0.17473073303699493,89,-1
339,0.14183196425437927,95,40
340,0.10088600218296051,87,22
341,0.16530951857566833,91,20
342,1.7865970134735107,85,-1
343,0.10109788179397583,98,14
344,5.021148204803467,84,-1
345,0.13803203403949738,91,9
346,0.1534837931394577,98,25
347,0.15753483772277832,97,18
348,0.698815107345581,76,-1
349,6.278955459594727,90,-1
350,0.10610172152519226,97,28
351,0.536272406578064,97,-1
352,2.7445571422576904,96,-1
353,0.13008221983909607,87,24
354,0.09598178416490555,98,14
355,0.1698916256427765,73,11
356,0.6475033760070801,97,-1
357,0.16117332875728607,94,16
358,0.030399033799767494,91,17
359,4.560885429382324,84,-1
360,0.060875531286001205,99,-1
361,0.0038499198853969574,86,17
362,2.1980791091918945,50,-1
363,0.7400304079055786,95,-1
364,0.7188065648078918,99,-1
365,0.16881069540977478,95,9
366,0.03557061031460762,82,28
367,4.843576908111572,57,-1
368,0.08735650032758713,76,36
369,0.10624033212661743,91,14
370,0.13537974655628204,98,68
371,0.11357500404119492,96,10
372,5.399320125579834,72,-1
373,3.649948835372925,68,-1
374,0.1423795521259308,76,23
375,0.04692763835191727,84,2
376,0.022985829040408134,69,6
377,0.10226112604141235,98,0
378,0.16702711582183838,85,29
379,0.18714873492717743,62,34
380,0.044690463691949844,99,28
381,0.1969882696866989,79,-1
382,0.13545061647891998,99,2
383,0.097344771027565,93,-1
384,0.17238055169582367,78,8
385,0.04429413005709648,75,15
386,2.2313268184661865,65,-1
387,0.07641398161649704,54,12
388,0.1547386646270752,87,43
389,0.9403963685035706,91,-1
390,0.16033098101615906,79,14
391,0.1126457154750824,98,20
392,1.5156298875808716,78,-1
393,0.08953805267810822,99,0
394,0.12363719940185547,99,13
395,0.2818596363067627,92,-1
396,0.9971900582313538,98,-1
397,0.12800651788711548,96,-1
398,0.0942671000957489,84,29
399,7.094885349273682,99,-1
