i,costZeroBoundary,costArrayBoundary
0,65706.65625,0.30820709466934204
1,2111.580322265625,0.11987823992967606
2,32632.876953125,24808.107421875
3,15525.154296875,6653.6630859375
4,5034.57275390625,10032.146484375
5,25365.57421875,1078.3089599609375
6,85.49793243408203,0.19139564037322998
7,1612.029541015625,6009.5537109375
8,165366.671875,26162.962890625
9,5.001867294311523,0.19233830273151398
10,333751.5,25083.083984375
11,9153.033203125,15541.0068359375
12,289964.71875,12370.6552734375
13,18533.06640625,6625.56201171875
14,32053.798828125,10867.783203125
15,3022.205810546875,1879.8763427734375
16,1.067664384841919,0.28808242082595825
17,7.898833274841309,27.017505645751953
18,0.6244380474090576,0.44680628180503845
19,1472.3284912109375,29.76327133178711
20,1.9663070440292358,0.08180445432662964
21,1299.6962890625,0.09527464210987091
22,5.082542896270752,0.1198100745677948
23,244203.515625,4932.14794921875
24,18659.630859375,23486.041015625
25,4190.4169921875,610.4840087890625
26,9827.0654296875,40626.8125
27,1.2818368673324585,8.552708625793457
28,1.1787633895874023,0.2480202317237854
29,1416.3243408203125,4489.55224609375
30,6860.22802734375,13838.025390625
31,377.70953369140625,2627.111083984375
32,32959.05859375,14640.9541015625
33,303.27325439453125,0.16380593180656433
34,4836.66455078125,5440.6318359375
35,6238.064453125,12514.02734375
36,170711.71875,0.123897984623909
37,13.904059410095215,324.0285339355469
38,20.42831039428711,117.99470520019531
39,9851.1728515625,1096.7308349609375
40,166.06838989257812,0.0654979720711708
41,18226.2265625,27805.283203125
42,2.753912925720215,0.1498788595199585
43,169348.015625,26907.0703125
44,54216.0859375,0.19166085124015808
45,0.687564492225647,784.4307250976562
46,2.702428102493286,87.44454956054688
47,21437.6953125,76.75464630126953
48,13353.7900390625,0.04995988309383392
49,1.166243076324463,0.3567790687084198
50,3.2430455684661865,149.7399139404297
51,3.927931547164917,0.1500163972377777
52,19958.970703125,27986.263671875
53,14879.7578125,0.11698422580957413
54,2869.545166015625,0.693372368812561
55,165.9715576171875,0.13937512040138245
56,0.8890348672866821,0.0732714831829071
57,311.8056945800781,0.13945244252681732
58,29860.666015625,1089.8985595703125
59,63.17121887207031,301.5654602050781
60,28014.4296875,759.8349609375
61,1397.1396484375,10.499699592590332
62,428.5284118652344,0.20945145189762115
63,7.100818157196045,0.7969278693199158
64,0.3617601692676544,0.08259634673595428
65,1.2833642959594727,0.2176510989665985
66,28052.140625,0.09435736387968063
67,21051.1171875,0.19450494647026062
68,68.94095611572266,1160.402587890625
69,0.21589285135269165,0.2098921686410904
70,16784.267578125,0.008966079913079739
71,4280.3046875,2230.013671875
72,9.93524169921875,0.06394770741462708
73,111318.734375,9063.9521484375
74,3423.634765625,0.09361281991004944
75,1.141383409500122,3.157221555709839
76,2056.013427734375,196.70191955566406
77,0.22411641478538513,0.14707601070404053
78,21510.93359375,28158.412109375
79,2.029528856277466,0.09649389982223511
80,0.22164122760295868,0.14732182025909424
81,5181.96826171875,19543.49609375
82,8175.7822265625,3082.48193359375
83,410.2381286621094,53.590084075927734
84,0.37344294786453247,0.16001923382282257
85,237591.5,26127.7421875
86,3310.84228515625,7.9351887702941895
87,23892.048828125,0.49398747086524963
88,2633.549072265625,0.03430325165390968
89,5.128958702087402,0.2532009482383728
90,27832.275390625,42167.2421875
91,38950.96875,1160.20361328125
92,29172.3359375,0.10053142160177231
